origin,year,outflow_to_europe,wb_gdp_pc_growth,wb_population,wb_remit_in_pct_gdp,wb_unemployment,outflow_rate_per_1000,L1_outflow_rate_per_1000,L1_wb_remit_in_pct_gdp,L1_wb_unemployment,L1_wb_gdp_pc_growth,L1_outflow_x_remit_in
AD,1998,862.0,2.11836793796665,65382.0,,,13.184056774035668,,,,,
AD,1999,784.0,3.57945484802578,65710.0,,,11.931212905189469,13.184056774035668,,,2.11836793796665,
AD,2000,776.0,3.56776571144128,65685.0,,,11.813960569384182,11.931212905189469,,,3.57945484802578,
AD,2001,523.0,7.84516813384302,65852.0,,,7.9420518738990475,11.813960569384182,,,3.56776571144128,
AD,2002,721.0,3.51828473360374,66506.0,,,10.841127116350403,7.9420518738990475,,,7.84516813384302,
AD,2003,13.0,4.03270748560267,69486.0,,,0.18708804651296665,10.841127116350403,,,3.51828473360374,
AD,2004,1095.0,1.09540001410325,74325.0,,,14.732593340060545,0.18708804651296665,,,4.03270748560267,
AD,2005,1492.0,1.18302768739022,77421.0,,,19.271257152452176,14.732593340060545,,,1.09540001410325,
AD,2006,1739.0,1.95883002800001,79585.0,,,21.850851291072438,19.271257152452176,,,1.18302768739022,
AD,2007,1598.0,-1.2896115123411,81877.0,,,19.517080498796975,21.850851291072438,,,1.95883002800001,
AD,2008,58.0,-7.38929878788132,83495.0,,,0.6946523743936762,19.517080498796975,,,-1.2896115123411,
AD,2009,21.0,-5.74648545856505,83888.0,,,0.25033377837116155,0.6946523743936762,,,-7.38929878788132,
AD,2010,115.0,1.88988084312282,80706.0,,,1.4249250365524249,0.25033377837116155,,,-5.74648545856505,
AD,2011,77.0,3.7495175357235,77783.0,,,0.9899335330342106,1.4249250365524249,,,1.88988084312282,
AD,2012,80.0,-3.80075429834201,76834.0,,,1.0412057162193822,0.9899335330342106,,,3.7495175357235,
AD,2013,28.0,-1.44394540350855,75194.0,,,0.3723701359150996,1.0412057162193822,,,-3.80075429834201,
AD,2014,41.0,4.52989381717444,73737.0,,,0.5560302154956128,0.3723701359150996,,,-1.44394540350855,
AD,2015,51.0,3.63079793724701,72174.0,,,0.706625654667886,0.5560302154956128,,,4.52989381717444,
AD,2016,46.0,3.69962046811506,72181.0,,,0.6372868206314681,0.706625654667886,,,3.63079793724701,
AD,2017,448.0,-1.80605703312767,73763.0,,,6.073505687133116,0.6372868206314681,,,3.69962046811506,
AD,2018,63.0,-0.30211930399588,75162.0,,,0.8381895106569809,6.073505687133116,,,-1.80605703312767,
AD,2019,55.0,0.265352820614368,76474.0,0.669148686591305,,0.7191986819049612,0.8381895106569809,,,-0.30211930399588,
AD,2020,44.0,-12.2238384935431,77380.0,1.64013432676391,,0.5686223830447144,0.7191986819049612,0.669148686591305,,0.265352820614368,0.48125085339490253
AD,2021,50.0,6.92704485233561,78364.0,1.59419633502347,,0.6380480833035578,0.5686223830447144,1.64013432676391,,-12.2238384935431,0.9326170893979326
AD,2022,37.0,7.72123800096536,79705.0,1.31863050475322,,0.46421178094222443,0.6380480833035578,1.59419633502347,,6.92704485233561,1.0171739159712816
AD,2023,62.0,1.1232590791063,80856.0,1.27540334966827,,0.766795290392797,0.46421178094222443,1.31863050475322,,7.72123800096536,0.6121238150162366
AD,2024,81.0,2.00678445056737,81938.0,1.29549313910818,,0.9885523200468647,0.766795290392797,1.27540334966827,,1.1232590791063,0.9779732818768271
AE,1998,822.0,-7.06429544482174,3040421.0,,2.068,0.270357295913954,,,,,
AE,1999,1049.0,-4.20539217851939,3266009.0,,2.195,0.3211871124666221,0.270357295913954,,2.068,-7.06429544482174,
AE,2000,868.0,3.63193280286305,3493575.0,,2.25,0.2484560944018663,0.3211871124666221,,2.195,-4.20539217851939,
AE,2001,4440.0,-4.86457732769431,3723590.0,,2.443,1.1923976592481986,0.2484560944018663,,2.25,3.63193280286305,
AE,2002,4377.0,-3.6045063779694,3956826.0,,2.659,1.1061896580744264,1.1923976592481986,,2.443,-4.86457732769431,
AE,2003,5236.0,2.68556331171168,4192457.0,,2.903,1.2489096489242466,1.1061896580744264,,2.659,-3.6045063779694,
AE,2004,6223.0,3.71551069282259,4428967.0,,2.965,1.4050680440834173,1.2489096489242466,,2.903,2.68556331171168,
AE,2005,4846.0,-0.445687772577529,4664790.0,,3.12,1.038846336062288,1.4050680440834173,,2.965,3.71551069282259,
AE,2006,2620.0,2.28744303095432,5009100.0,,2.964,0.5230480525443693,1.038846336062288,,3.12,-0.445687772577529,
AE,2007,2950.0,-8.10764986229219,5624635.0,,2.934,0.5244784772700807,0.5230480525443693,,2.964,2.28744303095432,
AE,2008,3035.0,-7.90935166190489,6302664.0,,2.818,0.48154240809917837,0.5244784772700807,,2.934,-8.10764986229219,
AE,2009,1822.0,-10.9561860264524,6707058.0,,2.932,0.2716541291278531,0.48154240809917837,,2.818,-7.90935166190489,
AE,2010,8259.0,-0.804617484632146,6869838.0,,2.798,1.2022117552116949,0.2716541291278531,,2.932,-10.9561860264524,
AE,2011,9509.0,3.21040480797836,7104538.0,,2.587,1.3384403039296855,1.2022117552116949,,2.798,-0.804617484632146,
AE,2012,7998.0,0.619829719966987,7391448.0,,2.323,1.082061322761115,1.3384403039296855,,2.587,3.21040480797836,
AE,2013,1886.0,0.805452996724028,7693031.0,,2.125,0.24515694789218972,1.082061322761115,,2.323,0.619829719966987,
AE,2014,14508.0,-0.124078023674471,8059440.0,,1.999,1.8001250707245169,0.24515694789218972,,2.125,0.805452996724028,
AE,2015,17416.0,1.47473600077311,8505237.0,,1.793,2.047679564955098,1.8001250707245169,,1.999,-0.124078023674471,
AE,2016,7942.0,0.574841518832997,8935095.0,,1.64,0.8888545672989487,2.047679564955098,,1.793,1.47473600077311,
AE,2017,7963.0,-4.15218113866617,9223225.0,,2.462,0.8633639534978275,0.8888545672989487,,1.64,0.574841518832997,
AE,2018,7483.0,0.195794810557288,9346701.0,,2.236,0.800603335872197,0.8633639534978275,,2.462,-4.15218113866617,
AE,2019,16875.0,0.209030520233554,9445785.0,,2.331,1.7865111263912952,0.800603335872197,,2.236,0.195794810557288,
