L1_air_growth,L1_air_growth_harmonized,L1_dlog_hpi,L1_emigration_rate_per_1000,L1_gdp_pc_growth,L1_hpi_growth,L1_hpi_growth_harmonized,L1_immigration_rate_per_1000,L1_inflation_hicp,L1_long_rate,L1_net_migration_level_per_1000,L1_net_migration_rate,L1_net_migration_rate_harmonized,L1_od_gdp_coverage_share,L1_od_group_EAST_SE_ASIA,L1_od_group_EAST_SE_ASIA_rate_per_1000,L1_od_group_EU_EEA_CH_UK,L1_od_group_EU_EEA_CH_UK_rate_per_1000,L1_od_group_LATAM_CARIB,L1_od_group_LATAM_CARIB_rate_per_1000,L1_od_group_MENA,L1_od_group_MENA_rate_per_1000,L1_od_group_NON_EUROPE_EUR_CIS,L1_od_group_NON_EUROPE_EUR_CIS_rate_per_1000,L1_od_group_N_AMERICA,L1_od_group_N_AMERICA_rate_per_1000,L1_od_group_OCEANIA,L1_od_group_OCEANIA_rate_per_1000,L1_od_group_OTHER,L1_od_group_OTHER_rate_per_1000,L1_od_group_SOUTH_ASIA,L1_od_group_SOUTH_ASIA_rate_per_1000,L1_od_group_SSA,L1_od_group_SSA_rate_per_1000,L1_od_immigration_total,L1_origin_gdp_pc_ppp_const_wavg,L1_origin_gdp_pc_ppp_const_wavg_log,L1_origin_gdp_pc_ppp_const_wavg_log_c,L1_pop_growth,L1_share_group_EAST_SE_ASIA,L1_share_group_EU_EEA_CH_UK,L1_share_group_LATAM_CARIB,L1_share_group_MENA,L1_share_group_NON_EUROPE_EUR_CIS,L1_share_group_N_AMERICA,L1_share_group_OCEANIA,L1_share_group_OTHER,L1_share_group_SOUTH_ASIA,L1_share_group_SSA,L1_share_high_gdp_origins,L1_share_low_gdp_origins,L1_share_mid_gdp_origins,L1_share_origin_AR,L1_share_origin_CN,L1_share_origin_CO,L1_share_origin_FR,L1_share_origin_IN,L1_share_origin_MA,L1_share_origin_NG,L1_share_origin_PE,L1_share_origin_PK,L1_share_origin_PL,L1_share_origin_RO,L1_share_origin_UK,L1_share_origin_US,L1_share_origin_VE,L1_unemployment_rate,air_growth,air_growth_harmonized,air_passengers,air_passengers_iv,annual_fe_complete,country_name,dlog_hpi,emigration,emigration_iv,emigration_rate_per_1000,emigration_rate_per_1000_iv,gdp_pc_growth,gdp_pc_growth_harmonized,gdp_pc_growth_harmonized_source,gdp_pc_growth_harmonized_wb,geo,hpi_growth,hpi_growth_harmonized,hpi_growth_harmonized_source,hpi_index,hpi_index_iv,immigration,immigration_iv,immigration_rate_per_1000,immigration_rate_per_1000_iv,inflation_hicp,inflation_hicp_harmonized,inflation_hicp_harmonized_source,inflation_hicp_harmonized_wb,log_air_passengers,log_hpi,log_population,long_rate,long_rate_harmonized,long_rate_harmonized_source,long_rate_harmonized_wb,net_migration_level,net_migration_level_iv,net_migration_level_per_1000,net_migration_level_per_1000_iv,net_migration_rate,net_migration_rate_harmonized,net_migration_rate_harmonized_source,od_gdp_coverage_share,od_group_EAST_SE_ASIA,od_group_EAST_SE_ASIA_rate_per_1000,od_group_EU_EEA_CH_UK,od_group_EU_EEA_CH_UK_rate_per_1000,od_group_LATAM_CARIB,od_group_LATAM_CARIB_rate_per_1000,od_group_MENA,od_group_MENA_rate_per_1000,od_group_NON_EUROPE_EUR_CIS,od_group_NON_EUROPE_EUR_CIS_rate_per_1000,od_group_N_AMERICA,od_group_N_AMERICA_rate_per_1000,od_group_OCEANIA,od_group_OCEANIA_rate_per_1000,od_group_OTHER,od_group_OTHER_rate_per_1000,od_group_SOUTH_ASIA,od_group_SOUTH_ASIA_rate_per_1000,od_group_SSA,od_group_SSA_rate_per_1000,od_immigration_gdp_covered,od_immigration_total,od_origin_gdp_wsum,od_origin_log_gdp_wsum,od_origins_count,od_rows_gdp_known,od_share_high_num,od_share_low_num,od_share_mid_num,od_vs_agg_immig_ratio,oecd_hpi_growth_a,origin_gdp_pc_ppp_const_wavg,origin_gdp_pc_ppp_const_wavg_log,pl_bdl_net_migration_rate_a,pl_bdl_net_migration_rate_source,pop_growth,pop_growth_harmonized,pop_growth_harmonized_source,pop_growth_harmonized_wb,population,population_iv,post_2020,post_2022,q4_air_yoy,q4_hpi_yoy,q_air_obs,q_air_yoy_mean,q_air_yoy_median,q_hpi_obs,q_hpi_yoy_mean,q_hpi_yoy_median,share_group_EAST_SE_ASIA,share_group_EU_EEA_CH_UK,share_group_LATAM_CARIB,share_group_MENA,share_group_NON_EUROPE_EUR_CIS,share_group_N_AMERICA,share_group_OCEANIA,share_group_OTHER,share_group_SOUTH_ASIA,share_group_SSA,share_high_gdp_origins,share_low_gdp_origins,share_mid_gdp_origins,share_origin_AR,share_origin_CN,share_origin_CO,share_origin_FR,share_origin_IN,share_origin_MA,share_origin_NG,share_origin_PE,share_origin_PK,share_origin_PL,share_origin_RO,share_origin_UK,share_origin_US,share_origin_VE,uk_ons_net_migration_rate_a,uk_ons_net_migration_rate_source,unemployment_rate,unemployment_rate_harmonized,unemployment_rate_harmonized_source,unemployment_rate_harmonized_wb,wb_net_migration_level,wb_net_migration_rate_per_1000,year,asylum_first_apps_q,asylum_rate_per_1000,non_asylum_immigration_rate_per_1000,acq_total,naturalization_rate_per_1000,acq_origin_gdp_wavg_log,car_reg_elc,car_reg_total,car_reg_elc_share,car_reg_total_per_1000,L1_asylum_rate_per_1000,L1_non_asylum_immigration_rate_per_1000,L1_naturalization_rate_per_1000,L1_acq_origin_gdp_wavg_log,L1_car_reg_total_per_1000,L1_car_reg_elc_share
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Austria,,,,,,,,,,AT,,,missing,,,,,,,1.94574935198645,1.94574935198645,wb_inflation_cpi,1.94574935198645,,,,,,,,,,,,,,eurostat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8507786.0,8507786.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1732.0,,1960,,,,,,,,,,,,,,,,
,,,,,,,,1.94574935198645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Austria,,,,,,4.96071718349167,4.96071718349167,wb_gdp_pc_growth,4.96071718349167,AT,,,missing,,,,,,,3.54223986727557,3.54223986727557,wb_inflation_cpi,3.54223986727557,,,,,,,,,,,,,,eurostat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.548472356417754,0.548472356417754,wb_population_growth,0.548472356417754,8507786.0,8507786.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2760.0,,1961,,,,,,,,,,,,,,,,
,,,,4.96071718349167,,,,3.54223986727557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.548472356417754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Austria,,,,,,2.02146966677638,2.02146966677638,wb_gdp_pc_growth,2.02146966677638,AT,,,missing,,,,,,,4.38179863851178,4.38179863851178,wb_inflation_cpi,4.38179863851178,,,,,,,,,,,,,,eurostat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.612895847822874,0.612895847822874,wb_population_growth,0.612895847822874,8507786.0,8507786.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1509.0,,1962,,,,,,,,,,,,,,,,
,,,,2.02146966677638,,,,4.38179863851178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.612895847822874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Austria,,,,,,3.47146615932409,3.47146615932409,wb_gdp_pc_growth,3.47146615932409,AT,,,missing,,,,,,,2.70876699499833,2.70876699499833,wb_inflation_cpi,2.70876699499833,,,,,,,,,,,,,,eurostat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.642362670652079,0.642362670652079,wb_population_growth,0.642362670652079,8507786.0,8507786.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4774.0,,1963,,,,,,,,,,,,,,,,
,,,,3.47146615932409,,,,2.70876699499833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.642362670652079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Austria,,,,,,5.41933601415174,5.41933601415174,wb_gdp_pc_growth,5.41933601415174,AT,,,missing,,,,,,,3.86856354936629,3.86856354936629,wb_inflation_cpi,3.86856354936629,,,,,,,,,,,,,,eurostat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.666548205291217,0.666548205291217,wb_population_growth,0.666548205291217,8507786.0,8507786.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3646.0,,1964,,,,,,,,,,,,,,,,
,,,,5.41933601415174,,,,3.86856354936629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.666548205291217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Austria,,,,,,2.81001278561541,2.81001278561541,wb_gdp_pc_growth,2.81001278561541,AT,,,missing,,,,,,,4.93091637676269,4.93091637676269,wb_inflation_cpi,4.93091637676269,,,,,,,,,,,,,,eurostat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.649729875576735,0.649729875576735,wb_population_growth,0.649729875576735,8507786.0,8507786.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10719.0,,1965,,,,,,,,,,,,,,,,
,,,,2.81001278561541,,,,4.93091637676269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.649729875576735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Austria,,,,,,4.90447900377819,4.90447900377819,wb_gdp_pc_growth,4.90447900377819,AT,,,missing,,,,,,,2.05482059257987,2.05482059257987,wb_inflation_cpi,2.05482059257987,,,,,,,,,,,,,,eurostat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.701396116235274,0.701396116235274,wb_population_growth,0.701396116235274,8507786.0,8507786.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18656.0,,1966,,,,,,,,,,,,,,,,
,,,,4.90447900377819,,,,2.05482059257987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.701396116235274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Austria,,,,,,2.2410097584837,2.2410097584837,wb_gdp_pc_growth,2.2410097584837,AT,,,missing,,,,,,,3.97467292898832,3.97467292898832,wb_inflation_cpi,3.97467292898832,,,,,,,,,,,,,,eurostat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.747425220117069,0.747425220117069,wb_population_growth,0.747425220117069,8507786.0,8507786.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21285.0,,1967,,,,,,,,,,,,,,,,
,,,,2.2410097584837,,,,3.97467292898832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.747425220117069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Austria,,,,,,3.93124182887794,3.93124182887794,wb_gdp_pc_growth,3.93124182887794,AT,,,missing,,,,,,,2.76486447339768,2.76486447339768,wb_inflation_cpi,2.76486447339768,,,,,,,,,,,,,,eurostat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.519254261579197,0.519254261579197,wb_population_growth,0.519254261579197,8507786.0,8507786.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6880.0,,1968,,,,,,,,,,,,,,,,
,,,,3.93124182887794,,,,2.76486447339768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.519254261579197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Austria,,,,,,5.90949592643453,5.90949592643453,wb_gdp_pc_growth,5.90949592643453,AT,,,missing,,,,,,,3.08040419539532,3.08040419539532,wb_inflation_cpi,3.08040419539532,,,,,,,,,,,,,,eurostat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.345331646244521,0.345331646244521,wb_population_growth,0.345331646244521,8507786.0,8507786.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5896.0,,1969,,,,,,,,,,,,,,,,
