geo,year,ss_loo_origin_supply,ss_push_index_wb,ss_push_gdp_downturn,ss_push_conflict_log,ss_push_unemployment,ss_asylum_loo,ss_loo_origin_supply_logdiff,ss_asylum_loo_logdiff
AT,1998,31310.926578796127,0.039205016498716626,-2.5803225238856933,0.5733263184368209,9.95375061160783,,,
AT,1999,36949.57344789792,0.22452274280866003,-1.4180557281394188,0.6643739647961228,10.130276305417636,,16.558697469034023,
AT,2000,36155.04394154945,-0.0911999256991877,-3.988036215774536,0.31374365534182563,10.01211861266303,,-2.1737636300391827,
AT,2001,29518.6312452304,-0.08786754285743419,-2.220814010475667,0.30062386360130194,10.217800146346212,,-20.27948353661504,
AT,2002,44264.48930510673,-0.21116191329840164,-3.2000390596183133,0.19637821236276654,10.732152812453874,,40.51611281540506,
AT,2003,16027.6882323199,0.05458756248318375,-2.783706777080381,0.21397613926381231,10.961430113402612,,-101.58650186351164,
AT,2004,49973.11119171668,0.09742311140307713,-4.965500656194116,0.2832602894749635,11.269558508650443,,113.71673434642827,
AT,2005,54757.43303718638,0.14951276650932543,-3.971590844144874,0.272030355313585,11.268751475238911,,9.142803810888367,
AT,2006,61269.45777786153,-0.09274945646539683,-5.224639165931636,0.2634503093776341,10.551615580532813,,11.236835426386804,
AT,2007,59734.27162924789,-0.13881498362396583,-5.252215651312196,0.2960262528940191,9.345750558219727,,-2.537555715348816,
AT,2008,75136.2166709063,-0.12608775734297162,-3.0267658080187987,0.3514448434908102,8.476456549935149,1201.405944294225,22.939676864941916,
AT,2009,41898.525627859795,0.42015907390171103,3.3812451945721818,0.28761794712024685,9.745364593638023,1082.4847451346166,-58.40520500479531,-10.414204048854536
AT,2010,41855.98647710749,0.045911972644025204,-3.2943961464831273,0.26049404757434313,10.111806574901939,1560.45610712794,-0.1015805676400916,36.54363252707648
AT,2011,43010.6468942256,-0.1629132207468439,-3.7855022881822173,0.3176435065283322,9.908065494640777,1548.4275790379463,2.7212854483149584,-0.7733229042556466
AT,2012,38277.96249956818,0.21052179688737355,-1.1546950600351729,0.3604066217179175,9.967832059870046,1997.9936279728538,-11.657334830738009,25.47583090305965
AT,2013,45600.77268601829,0.09990703796541738,-1.5267301107499227,0.20336657646015766,9.940213778527305,2752.743002232879,17.505032231648876,32.03172100480334
AT,2014,70165.1077434733,-0.016665561777025512,-2.1625046130639363,0.27568352879662616,9.336567892394708,2774.764668381367,43.09264855292305,0.796518745939423
AT,2015,77311.74358008058,-0.18704505996677728,-2.3553937970722054,0.4247011584018729,8.944213272910563,4666.4673877201085,9.699471940219517,51.969034389810176
AT,2016,73825.99556564695,-0.12631249259474175,-2.3360449921576407,0.42612453509369286,8.209027878011325,5353.147448519736,-4.61349531568036,13.725487528802383
AT,2017,75764.96249956818,-0.29688536003531163,-3.618250395530876,0.3317123176674065,7.405749104179033,2715.0815267741336,2.592503661058565,-67.86812581317187
AT,2018,70859.66285726847,-0.48776564067661987,-2.9561937459865257,0.3135999882533203,6.7562375833404,2596.3805692427995,-6.693460807569451,-4.468676265077232
AT,2019,66987.73814705596,-0.32615300750535897,-2.378930976575639,0.2788049900327336,6.368567386777965,2618.255669345493,-5.619175164352974,0.8386717923658971
AT,2020,48493.21505042035,-0.5075380075368141,3.5025525421261996,0.28981150694799523,6.893768678770064,1311.5782308438775,-32.30856976221084,-69.0896863580682
AT,2021,70737.08852689661,-0.436884082211318,-6.275513192248481,0.24214801639425754,6.669845410036335,1945.5649717514123,37.75461332602745,39.407294810893845
