row_order,event_definition,regions,treated,obs,threshold,lead_df,lead_chi2,p_value
1,Persistent route opening event,33,17,2133,0.39911504424778765,7,5.89199505033382,0.5524157658213902
2,Persistent route closure event,33,15,2133,0.5346534653465347,7,0.0,1.0
