sample,factor,comparison,full_r2_inclusive,full_r2_within,full_rmse,full_mae,without_block_r2_inclusive,without_block_r2_within,without_block_rmse,without_block_mae,delta_r2_inclusive,delta_r2_within,delta_rmse,delta_mae,sample_label,factor_label
annual_headline_composition,macros,full_minus_without_block,0.7754210045963874,0.0694423575717487,2.5925590219822445,1.9821458043170923,0.6973287974715554,-0.5443128148738559,3.0097445450817055,2.281872122319453,0.078092207124832,0.6137551724456046,0.417185523099461,0.2997263180023608,Annual headline (migration + origin-income composition),Macro controls block
annual_headline_composition,migration,full_minus_without_block,0.7754210045963874,0.0694423575717487,2.5925590219822445,1.9821458043170923,0.7697446411581326,0.0688093137827028,2.625118775372886,2.012944286984623,0.0056763634382548,0.0006330437890459,0.0325597533906414,0.0307984826675304,Annual headline (migration + origin-income composition),Net migration block
annual_headline_composition,air,full_minus_without_block,0.7754210045963874,0.0694423575717487,2.5925590219822445,1.9821458043170923,0.7747767598780968,-0.1215268038013763,2.5962749668373295,1.9897095850496116,0.0006442447182906,0.1909691613731251,0.0037159448550849,0.0075637807325192,Annual headline (migration + origin-income composition),Annual air-passenger growth
annual_headline_composition,origin_income_comp,full_minus_without_block,0.7754210045963874,0.0694423575717487,2.5925590219822445,1.9821458043170923,0.7752047786176489,0.0683986458724302,2.5938067872591777,1.9825748551726643,0.0002162259787384,0.0010437116993184,0.0012477652769331,0.0004290508555719,Annual headline (migration + origin-income composition),Origin-income composition
annual_extended_composition_groups,macros,full_minus_without_block,0.7794992786076331,0.1389776855168495,2.5870084954889068,1.9801399441314904,0.6996994996614072,-0.5597755442529873,3.019053961172024,2.301173984552895,0.0797997789462259,0.6987532297698368,0.4320454656831174,0.3210340404214045,Annual extended (add origin-region shares),Macro controls block
annual_extended_composition_groups,migration,full_minus_without_block,0.7794992786076331,0.1389776855168495,2.5870084954889068,1.9801399441314904,0.7732479204763733,0.1499905815616349,2.6234239975012135,2.0110716357635217,0.0062513581312598,-0.0110128960447853,0.0364155020123067,0.030931691632031,Annual extended (add origin-region shares),Net migration block
annual_extended_composition_groups,origin_region_shares,full_minus_without_block,0.7794992786076331,0.1389776855168495,2.5870084954889068,1.9801399441314904,0.7733066437535998,0.0949664421983098,2.6230842739791687,2.000385799184689,0.0061926348540333,0.0440112433185396,0.0360757784902618,0.0202458550531985,Annual extended (add origin-region shares),Origin-region shares
annual_extended_composition_groups,origin_income_comp,full_minus_without_block,0.7794992786076331,0.1389776855168495,2.5870084954889068,1.9801399441314904,0.7781623911187998,0.1369083048224356,2.5948391113097475,1.9805644120557324,0.0013368874888333,0.0020693806944138,0.0078306158208407,0.0004244679242417,Annual extended (add origin-region shares),Origin-income composition
annual_extended_composition_groups,air,full_minus_without_block,0.7794992786076331,0.1389776855168495,2.5870084954889068,1.9801399441314904,0.7786998717210142,-0.0742763323358048,2.5916937440864163,1.9870571631628289,0.0007994068866189,0.2132540178526544,0.0046852485975095,0.006917219031338,Annual extended (add origin-region shares),Annual air-passenger growth
quarterly_traveler_quality_full_interact,operating_intensity,full_minus_without_block,0.5525576709660767,-0.0371670085712569,4.781192152232622,3.635321238092179,0.5451444112715822,-0.0134883745664451,4.820637025758082,3.6757872263245286,0.0074132596944944,-0.0236786340048118,0.0394448735254604,0.040465988232349,Quarterly traveler-quality (full interacted),Operating intensity (passengers per movement)
quarterly_traveler_quality_full_interact,air_growth,full_minus_without_block,0.5525576709660767,-0.0371670085712569,4.781192152232622,3.635321238092179,0.5467415056329457,0.0070962720084361,4.812166444644335,3.654920138334528,0.005816165333131,-0.044263280579693,0.0309742924117131,0.0195989002423484,Quarterly traveler-quality (full interacted),Quarterly air-passenger growth
quarterly_traveler_quality_full_interact,airfare_proxy,full_minus_without_block,0.5525576709660767,-0.0371670085712569,4.781192152232622,3.635321238092179,0.5504456121647232,-0.0618026544616039,4.792463180683657,3.640327844937141,0.0021120588013534,0.0246356458903469,0.0112710284510351,0.0050066068449616,Quarterly traveler-quality (full interacted),Airfare proxy (HICP CP0733)
quarterly_traveler_quality_full_interact,interactions,full_minus_without_block,0.5525576709660767,-0.0371670085712569,4.781192152232622,3.635321238092179,0.552045468445576,-0.0468647847352816,4.783927966512388,3.634595353471011,0.0005122025205006,0.0096977761640246,0.0027358142797657,-0.0007258846211679,Quarterly traveler-quality (full interacted),Traveler-quality interactions
quarterly_traveler_quality_full_interact,route_shocks,full_minus_without_block,0.5525576709660767,-0.0371670085712569,4.781192152232622,3.635321238092179,0.5525157638420155,-0.0370840823227891,4.781416048485131,3.635418732306132,4.190712406115793e-05,-8.292624846784058e-05,0.0002238962525087,9.749421395222058e-05,Quarterly traveler-quality (full interacted),Route-shock controls
quarterly_traveler_quality_full_interact,airline_mix_level,full_minus_without_block,0.5525576709660767,-0.0371670085712569,4.781192152232622,3.635321238092179,0.5525575879727291,-0.0373237381625675,4.781192595649681,3.635355383882613,8.29933475277045e-08,0.0001567295913105,4.434170586264941e-07,3.414579043292676e-05,Quarterly traveler-quality (full interacted),Airline-licence mix proxy
