spec,n_ivs,partial_r2,partial_f,f_pval,sargan,sargan_p,basmann,basmann_p,n,row_order
Composite shift-share IV,2,0.015312697433867095,0.648330368922161,0.7231307825450544,4.388745268609293,0.036176927741939924,3.621958177752866,0.057021720485799565,254,1
Asylum shift-share IV,1,0.013589615446167547,2.6902414255849156,0.10096451533843143,,,,,249,2
