rep_airp,country,icao,airport_name,municipality,latitude_deg,longitude_deg,coord_match,nuts2,crosswalk_method,distance_deg
ES_LETO,ES,LETO,Madrid–Torrejón Airport / Torrejón Air Base,Madrid,40.487875,-3.456808,matched,ES30,contains,0.0
ES_LEVC,ES,LEVC,Valencia Airport,Valencia,39.489162,-0.480961,matched,ES52,contains,0.0
ES_LEVD,ES,LEVD,Valladolid Airport,Valladolid,41.7061,-4.85194,matched,ES41,contains,0.0
ES_LEVT,ES,LEVT,Vitoria Airport,Alava,42.882801,-2.72447,matched,ES21,contains,0.0
ES_LEVX,ES,LEVX,Vigo Airport,Vigo,42.2318,-8.62677,matched,ES11,contains,0.0
ES_LEXJ,ES,LEXJ,Seve Ballesteros-Santander Airport,Santander,43.427101,-3.82001,matched,ES13,contains,0.0
ES_LEZG,ES,LEZG,Zaragoza Airport,Zaragoza,41.666199,-1.04155,matched,ES24,contains,0.0
ES_LEZL,ES,LEZL,Seville Airport,Seville,37.417999,-5.89311,matched,ES61,contains,0.0
FI_EFET,FI,EFET,Enontekio Airport,Enontekio,68.362602233887,23.424299240112,matched,FI1D,contains,0.0
FI_EFHA,FI,EFHA,Halli Airport,Jämsä,61.856039,24.786686,matched,FI19,contains,0.0
FI_EFHF,FI,EFHF,,,,,unmatched,,,
FI_EFHK,FI,EFHK,Helsinki Vantaa Airport,Helsinki (Vantaa),60.318363,24.963341,matched,FI1B,contains,0.0
FI_EFIV,FI,EFIV,Ivalo Airport,Ivalo,68.6073,27.4053,matched,FI1D,contains,0.0
FI_EFJO,FI,EFJO,Joensuu Airport,Joensuu,62.658815,29.619398,matched,FI1D,contains,0.0
FI_EFJY,FI,EFJY,Jyväskylä Airport,Jyväskylän Maalaiskunta,62.399502,25.678301,matched,FI19,contains,0.0
FI_EFKE,FI,EFKE,Kemi-Tornio Airport,Kemi / Tornio,65.778701782227,24.582099914551,matched,FI1D,contains,0.0
FI_EFKI,FI,EFKI,Kajaani Airport,Kajaani,64.2855,27.6924,matched,FI1D,contains,0.0
FI_EFKK,FI,EFKK,Kokkola-Pietarsaari Airport,Kokkola / Kruunupyy,63.721199,23.143101,matched,FI19,contains,0.0
FI_EFKS,FI,EFKS,Kuusamo Airport,Kuusamo,65.987602,29.239401,matched,FI1D,contains,0.0
FI_EFKT,FI,EFKT,Kittilä International Airport,Kittilä,67.700996,24.8468,matched,FI1D,contains,0.0
FI_EFKU,FI,EFKU,Kuopio Airport,Kuopio / Siilinjärvi,63.007099,27.7978,matched,FI1D,contains,0.0
FI_EFLP,FI,EFLP,Lappeenranta Airport,Lappeenranta,61.044601,28.144743,matched,FI1C,contains,0.0
FI_EFMA,FI,EFMA,Mariehamn Airport,Mariehamn,60.1222,19.898199,matched,FI20,contains,0.0
FI_EFOU,FI,EFOU,Oulu Airport,Oulu / Oulunsalo,64.930099,25.354601,matched,FI1D,contains,0.0
FI_EFPO,FI,EFPO,Pori Airport,Pori,61.4617,21.799999,matched,FI19,contains,0.0
FI_EFRO,FI,EFRO,Rovaniemi Airport,Rovaniemi,66.563327,25.829751,matched,FI1D,contains,0.0
FI_EFSA,FI,EFSA,Savonlinna Airport,Savonlinna,61.9431,28.945101,matched,FI1D,contains,0.0
FI_EFSI,FI,EFSI,Seinäjoki Airport,Seinäjoki / Ilmajoki,62.692101,22.8323,matched,FI19,contains,0.0
FI_EFTP,FI,EFTP,Tampere-Pirkkala Airport,Tampere / Pirkkala,61.414101,23.604401,matched,FI19,contains,0.0
FI_EFTU,FI,EFTU,Turku Airport,Turku,60.514099,22.2628,matched,FI1C,contains,0.0
FI_EFUT,FI,EFUT,Utti Air Base,Utti / Valkeala,60.8964,26.9384,matched,FI1C,contains,0.0
FI_EFVA,FI,EFVA,Vaasa Airport,Vaasa,63.05023,21.762543,matched,FI19,contains,0.0
FI_EFVR,FI,EFVR,Varkaus Airport,Varkaus / Joroinen,62.171101,27.868601,matched,FI1D,contains,0.0
FR_FMEE,FR,FMEE,Roland Garros Airport,Sainte-Marie,-20.890087,55.518894,matched,FRY4,contains,0.0
FR_LFAT,FR,LFAT,Le Touquet-Côte d'Opale Airport,Le Touquet-Paris-Plage,50.518284,1.621656,matched,FRE1,contains,0.0
FR_LFBA,FR,LFBA,Agen La Garenne airport,Agen,44.174171,0.59309,matched,FRI1,contains,0.0
FR_LFBD,FR,LFBD,Bordeaux–Mérignac Airport,Bordeaux,44.82865,-0.715356,matched,FRI1,contains,0.0
FR_LFBE,FR,LFBE,Bergerac Dordogne-Périgord airport,Bergerac,44.825298,0.518611,matched,FRI1,contains,0.0
FR_LFBH,FR,LFBH,La Rochelle Île de Ré Airport,La Rochelle,46.179199,-1.19528,matched,FRI3,contains,0.0
FR_LFBI,FR,LFBI,Poitiers-Biard Airport,Poitiers/Biard,46.5877,0.306666,matched,FRI3,contains,0.0
FR_LFBL,FR,LFBL,Limoges Airport,Limoges/Bellegarde,45.862801,1.17944,matched,FRI2,contains,0.0
FR_LFBO,FR,LFBO,Toulouse-Blagnac Airport,Toulouse/Blagnac,43.629101,1.36382,matched,FRJ2,contains,0.0
FR_LFBP,FR,LFBP,Pau Pyrénées Airport,Pau/Pyrénées (Uzein),43.380001,-0.418611,matched,FRI1,contains,0.0
FR_LFBT,FR,LFBT,Tarbes-Lourdes-Pyrénées Airport,Tarbes/Lourdes/Pyrénées,43.178699,-0.006439,matched,FRJ2,contains,0.0
FR_LFBU,FR,LFBU,Angoulême Brie-Champniers airport,Angoulême,45.729198,0.221456,matched,FRI3,contains,0.0
