sample,forecast_period,nobs,rmse,mae,corr_actual_pred,rank_ic,top_minus_bottom
annual_investor_headline,2007,1,13.22143592060231,13.22143592060231,,,
annual_investor_headline,2008,1,32.039753224575186,32.039753224575186,,,
annual_investor_headline,2014,1,5.020380070455365,5.020380070455365,,,
annual_investor_headline,2015,17,9.060986494973724,7.300095547532321,0.4332141002982544,0.482843137254902,5.380000000000001
annual_investor_headline,2016,19,7.196531134635887,5.6390646975311185,0.440652960585346,0.45674172272815877,2.583333333333335
annual_investor_headline,2017,19,8.586976407829262,7.041731846433877,0.33255716734164675,0.19122807017543858,3.0666666666666673
annual_investor_headline,2018,19,5.904103652358447,4.58896699214458,0.0123328303754243,-0.02808249502463556,-0.38333333333333375
annual_investor_headline,2019,19,4.788487947179809,3.8864739727854585,0.1405270421506433,0.10794209025094292,0.4666666666666668
annual_investor_headline,2020,20,5.488957571653294,4.2473998455290465,0.4260100361755552,0.35364946053497526,1.4013201077756285
annual_investor_headline,2021,16,13.035503749802913,12.763473745453716,0.7210718446476778,0.6107433588692075,6.439999999999999
annual_investor_headline,2022,18,6.053052521639436,5.184620203709068,0.5014603996319552,0.3025297253961514,6.433333333333335
annual_investor_headline,2023,20,6.220173862404365,5.20513776869448,0.44663322672995154,0.39037234802777715,4.316666666666666
annual_investor_headline,2024,19,9.077847949759844,7.783517319169183,0.2243823691137366,0.1782265831766454,1.9500000000000002
annual_investor_headline,2025,19,4.270857062099957,3.4909524640736187,0.7426833189652888,0.6947368421052632,8.038250650865587
quarterly_investor_tq_full,8019,6,44.82442665156311,21.258624640507218,-0.06518416979060213,0.4285714285714286,4.0945
quarterly_investor_tq_full,8020,6,2.624173854871259,2.0319430888828642,0.8907963397176593,0.942857142857143,6.668999999999999
quarterly_investor_tq_full,8021,6,3.42217544064356,2.649880282855326,0.8163474839819197,0.7142857142857143,12.177999999999999
quarterly_investor_tq_full,8022,6,22.970535529564174,12.51669764022485,0.022423312319415946,0.2571428571428572,11.6785
quarterly_investor_tq_full,8023,6,10.64707777553161,6.630102876419206,0.9042999931833723,0.8285714285714287,20.195999999999998
quarterly_investor_tq_full,8024,6,5.5948134899809014,4.04990081023002,0.9418739790401387,0.942857142857143,23.4575
quarterly_investor_tq_full,8025,6,5.789871656399167,3.7323980063947353,0.9266342466799355,0.8857142857142858,18.161513738043315
quarterly_investor_tq_full,8026,13,6.768300369681142,4.9485492749266164,0.8449871027879569,0.48901098901098894,10.670155683515258
quarterly_investor_tq_full,8027,13,10.47122517051546,4.627239273493886,0.6212678881938579,0.7252747252747254,15.400365825317385
quarterly_investor_tq_full,8028,13,10.284452531488348,6.703681738924971,0.8099673389403177,0.7747252747252747,25.38461570293544
quarterly_investor_tq_full,8029,14,9.7755394255513,6.414311879472753,0.8580555555282201,0.6879120879120879,28.119956895882872
quarterly_investor_tq_full,8030,16,11.096528860745941,7.196732977987676,0.7721326795674479,0.7235294117647059,28.481190196220943
quarterly_investor_tq_full,8031,16,8.39436438997848,6.336891343674441,0.851856544586618,0.7235294117647059,18.856666055964062
quarterly_investor_tq_full,8032,16,14.23086513470199,10.31087825826711,0.6672410251245801,0.5764705882352941,9.814230814865947
quarterly_investor_tq_full,8033,16,15.012122254587965,11.355784337812361,0.45907235742515423,0.3911764705882353,7.988584651047807
quarterly_investor_tq_full,8034,18,14.877254752785811,12.176623672442226,0.48663129866371935,0.32301341589267285,5.41412201811792
quarterly_investor_tq_full,8035,20,12.333681805377767,9.638730582990581,0.4805782450200421,0.3669172932330827,8.232591794121648
quarterly_investor_tq_full,8036,20,16.1080702154934,12.603332995017995,0.04677435178202796,0.05413533834586466,2.4119088866614735
quarterly_investor_tq_full,8037,20,21.150911120333927,15.329221530999908,-0.1169136970343326,-0.2796992481203007,-1.3867498727937484
quarterly_investor_tq_full,8038,22,18.975194351200223,13.392924937647855,0.11502026653010537,-0.007340485601355168,5.476424503641871
quarterly_investor_tq_full,8039,23,16.331230794753406,11.607843120153854,0.4322014934458665,0.17193675889328064,14.659642576347297
quarterly_investor_tq_full,8040,23,13.713890205458116,10.805181712776506,0.5020057995190026,0.19071146245059292,9.695851276077578
quarterly_investor_tq_full,8041,23,9.839695691287345,7.884336760671921,0.43174817154248807,0.4061264822134388,6.8054431770148955
quarterly_investor_tq_full,8042,24,9.23613112559739,7.298144226062596,0.18146247721586808,0.2539130434782608,3.4453992253405032
quarterly_investor_tq_full,8043,24,8.635759420392024,6.933061502056432,0.11596224063935062,0.268695652173913,4.011911893221459
quarterly_investor_tq_full,8044,24,8.922195548904233,6.593532824695241,0.3953551182389878,0.4252173913043478,6.632877585692498
quarterly_investor_tq_full,8045,24,8.299938725082704,6.588959873919573,0.04722334622678236,0.09739130434782609,0.2856059731898286
quarterly_investor_tq_full,8046,27,10.573539297914358,7.730179623229741,0.1758510193960136,0.2118437118437118,2.801806187384375
quarterly_investor_tq_full,8047,27,13.939131266875023,11.25035633397315,0.3239297459398775,0.3241758241758242,3.5171680788866135
quarterly_investor_tq_full,8048,27,8.465103919242342,6.535743033870591,0.45054472235979687,0.3223443223443223,7.39081024693992
quarterly_investor_tq_full,8049,27,7.621859479713616,5.993372126257448,0.4549018751748178,0.4578754578754578,7.605446029984897
quarterly_investor_tq_full,8050,27,7.527111201591815,6.441488122306045,0.42090715046196936,0.39072039072039066,5.946948603873686
quarterly_investor_tq_full,8051,27,7.503347130150554,5.770577033809258,0.34530376052911793,0.4084249084249084,6.93808205488781
quarterly_investor_tq_full,8052,27,7.550207849854173,5.5281315967238855,0.23548763410703102,0.25213675213675213,4.65085762548406
quarterly_investor_tq_full,8053,27,7.478251996385694,5.788477426056804,0.23336424112914006,0.21001221001221002,3.761462279799331
quarterly_investor_tq_full,8054,27,8.24345324465976,6.252478634508254,0.11429251415133923,0.038461538461538464,0.7557196976153178
quarterly_investor_tq_full,8055,27,7.365939086298097,5.472107599382263,0.13072550002136,0.1343101343101343,0.21259695687001728
quarterly_investor_tq_full,8056,27,7.122919407760411,5.347584662328653,0.1507937877782938,0.1813186813186813,0.6191180427543408
quarterly_investor_tq_full,8057,27,7.639536003722687,5.791618558463608,0.0872314096066951,0.14774114774114774,-1.4757377976781585
quarterly_investor_tq_full,8058,27,7.199953309353354,5.761691892967572,0.1878490591567741,0.21611721611721613,2.954724157609827
quarterly_investor_tq_full,8059,27,6.432501163976573,4.868913502792365,0.19460004771229128,0.23687423687423687,1.2012998071001806
quarterly_investor_tq_full,8060,27,5.449956730569029,4.0867100879376785,0.37049943452985484,0.4603174603174603,5.57084443751427
quarterly_investor_tq_full,8061,27,5.024661742954955,3.9152685557221587,0.4145859784911649,0.47619047619047616,5.585127383071548
quarterly_investor_tq_full,8062,27,5.844255092669533,4.706292699561016,0.3010734716845194,0.37973137973137966,2.9145799097605325
quarterly_investor_tq_full,8063,27,5.1441719678636595,4.271949915014814,0.4007358678420537,0.4768009768009768,5.327480468549211
quarterly_investor_tq_full,8064,27,4.351262597892737,3.8372078517309465,0.5147770499164835,0.5274725274725275,4.876762607805102
quarterly_investor_tq_full,8065,27,4.391589655573531,3.205397344281477,0.4037079597642555,0.5769230769230769,4.643415343617659
quarterly_investor_tq_full,8066,27,5.769729143466699,3.917647598934692,0.2036738698488867,0.2442002442002442,1.1879481016971152
quarterly_investor_tq_full,8067,27,5.374461304604288,4.113452122760843,0.27414586988789813,0.23931623931623933,1.372636111766715
quarterly_investor_tq_full,8068,27,5.227167105594326,4.27351954044271,0.36707735888788795,0.1684981684981685,1.665736319861792
quarterly_investor_tq_full,8069,27,5.349548682412455,4.257816646982801,0.43602621646351153,0.1807081807081807,1.6753409552529135
quarterly_investor_tq_full,8070,27,4.847744759590156,4.031685332674785,0.5916668733621246,0.2844932844932845,3.0974333397894878
quarterly_investor_tq_full,8071,27,4.238031073693114,3.5486910804862686,0.44876343789831386,0.1916971916971917,2.2403243989616097
quarterly_investor_tq_full,8072,27,5.258555758635569,4.480684655954697,0.169210463252012,-0.003052503052503052,-0.2508132699980612
quarterly_investor_tq_full,8073,27,5.09677131380411,4.311465374127636,0.18708597709792957,0.10866910866910866,-0.03570075777106663
quarterly_investor_tq_full,8074,27,5.228302711661679,4.415429221119,0.0908975644184914,0.07509157509157507,0.3100108852821437
quarterly_investor_tq_full,8075,27,4.922732094618684,4.085237902457638,0.13008229196204182,0.09523809523809523,1.4583057852459342
quarterly_investor_tq_full,8076,27,4.787620676342242,3.9785368242171164,0.25506680041981933,0.21855921855921853,1.2572585568880879
quarterly_investor_tq_full,8077,27,4.668203116256696,3.768112911778666,0.1266509890672209,-0.07509157509157507,1.0304073884287375
quarterly_investor_tq_full,8078,27,5.988586844024805,4.740432333956081,0.1614051184241811,0.17643467643467645,0.5070580311678805
quarterly_investor_tq_full,8079,27,6.35180956407305,4.781228419669786,0.3501372534139868,0.3937728937728938,2.906793135901145
quarterly_investor_tq_full,8080,27,6.136279439268502,4.976036742269317,0.18152508102921017,0.03601953601953601,0.6124593627014008
quarterly_investor_tq_full,8081,27,5.71401737660847,4.409288137545819,0.41092397332262187,0.4578754578754578,4.040200663369899
quarterly_investor_tq_full,8082,26,13.53556405910802,12.807407869948157,0.004854238032766184,0.010598290598290596,0.5893458409413679
quarterly_investor_tq_full,8083,26,12.31063525602646,11.500978187207194,0.19267880793989905,0.11658119658119658,1.3736891131706281
quarterly_investor_tq_full,8084,26,4.345793036302495,3.5286269637352037,0.3013512959132171,0.27589743589743587,2.78134025320319
quarterly_investor_tq_full,8085,26,5.459587412551146,4.7147491030443405,0.4710326972664496,0.6020512820512819,6.401528772203335
quarterly_investor_tq_full,8086,26,7.369670949116651,6.425166824544332,0.4272776615268204,0.47145299145299147,4.149344472733185
quarterly_investor_tq_full,8087,26,5.94793189139272,4.843443308048619,0.2018051915230791,0.2793162393162393,3.241311197449914
quarterly_investor_tq_full,8088,26,7.632221087613953,6.071958552686723,0.30833225296341255,0.3429059829059829,5.524600581723904
quarterly_investor_tq_full,8089,26,7.091474181731707,5.7519493435557925,0.32146239902522744,0.3483760683760683,4.203685147332369
quarterly_investor_tq_full,8090,26,6.734166602014392,5.576446182149239,0.31970003697649857,0.16307692307692306,2.390840652489933
quarterly_investor_tq_full,8091,27,5.607173822492266,4.520166304114814,0.41268913806363344,0.23809523809523808,3.940032181866945
quarterly_investor_tq_full,8092,27,5.945601300945181,4.873254837302056,0.3535351984624173,0.23626373626373626,3.3633750769425212
quarterly_investor_tq_full,8093,27,6.0241959205851225,4.665865986795991,0.1643152523939141,0.03907203907203907,0.3569782123578644
quarterly_investor_tq_full,8094,26,6.3849445109339715,5.1623922931523225,0.04911297519858292,0.009914529914529914,-2.351141036339166
quarterly_investor_tq_full,8095,26,7.20729969914181,5.809189397701364,-0.25415471041054494,-0.2704273504273504,-2.7095738263723135
quarterly_investor_tq_full,8096,26,6.575732378750897,5.2874379460216385,-0.005137839311794506,-0.07008547008547007,-0.5505657564576882
quarterly_investor_tq_full,8097,26,6.569698419826959,5.099652250403728,0.0004904808036465942,-0.05367521367521367,-2.674186027503401
quarterly_investor_tq_full,8098,26,6.800805296244998,5.113587768753827,0.10341349984824842,0.022905982905982905,2.9256614797500635
quarterly_investor_tq_full,8099,26,4.923450863015566,3.887793602704309,0.28660100092431173,0.2854700854700854,3.6747498170377817
quarterly_investor_tq_full,8100,26,5.264172502245733,4.3869108441225,0.0800000906286511,0.09059829059829058,1.7440478892837623
quarterly_investor_tq_full,8101,26,4.865568043646284,3.9208602119376836,0.21476052760115977,0.19999999999999998,1.6652081644385577
quarterly_investor_tq_full,8102,23,4.530027085585694,3.759747123386088,0.2897853922593798,0.299407114624506,2.429298732336882
quarterly_investor_tq_full,8103,23,5.581488160158362,4.951301046660413,0.16178269114091243,0.09387351778656126,3.8153335113074505
