geo,origin,immig_total_full,immig_total_rank_window,origin_group,source,rank_window_label
ES,NP,1673.0,0.0,SOUTH_ASIA,od_prev_residence,2018--2024
ES,NZ,1618.0,0.0,OCEANIA,od_prev_residence,2018--2024
ES,CG,1460.0,0.0,SSA,od_prev_residence,2018--2024
ES,TN,1392.0,0.0,MENA,od_prev_residence,2018--2024
ES,HR,1374.0,0.0,EU_EEA_CH_UK,od_prev_residence,2018--2024
ES,SL,1255.0,0.0,SSA,od_prev_residence,2018--2024
ES,ET,1250.0,0.0,SSA,od_prev_residence,2018--2024
ES,AL,1237.0,0.0,NON_EUROPE_EUR_CIS,od_prev_residence,2018--2024
ES,LB,1201.0,0.0,MENA,od_prev_residence,2018--2024
ES,ZA,1181.0,0.0,SSA,od_prev_residence,2018--2024
ES,TH,1174.0,0.0,EAST_SE_ASIA,od_prev_residence,2018--2024
ES,BA,1097.0,0.0,NON_EUROPE_EUR_CIS,od_prev_residence,2018--2024
ES,JO,1081.0,0.0,MENA,od_prev_residence,2018--2024
ES,LU,1031.0,0.0,EU_EEA_CH_UK,od_prev_residence,2018--2024
ES,ID,945.0,0.0,EAST_SE_ASIA,od_prev_residence,2018--2024
ES,IS,945.0,0.0,EU_EEA_CH_UK,od_prev_residence,2018--2024
ES,IQ,891.0,0.0,MENA,od_prev_residence,2018--2024
ES,SI,864.0,0.0,EU_EEA_CH_UK,od_prev_residence,2018--2024
ES,EE,808.0,0.0,EU_EEA_CH_UK,od_prev_residence,2018--2024
ES,SA,721.0,0.0,MENA,od_prev_residence,2018--2024
ES,KZ,714.0,0.0,NON_EUROPE_EUR_CIS,od_prev_residence,2018--2024
ES,LR,697.0,0.0,SSA,od_prev_residence,2018--2024
ES,CD,677.0,0.0,SSA,od_prev_residence,2018--2024
ES,BF,665.0,0.0,SSA,od_prev_residence,2018--2024
ES,RS,560.0,0.0,NON_EUROPE_EUR_CIS,od_prev_residence,2018--2024
ES,DM,554.0,0.0,LATAM_CARIB,od_prev_residence,2018--2024
ES,KE,502.0,0.0,SSA,od_prev_residence,2018--2024
ES,MZ,466.0,0.0,SSA,od_prev_residence,2018--2024
ES,LY,458.0,0.0,MENA,od_prev_residence,2018--2024
ES,UZ,358.0,0.0,NON_EUROPE_EUR_CIS,od_prev_residence,2018--2024
ES,TW,356.0,0.0,EAST_SE_ASIA,od_prev_residence,2018--2024
ES,TG,353.0,0.0,SSA,od_prev_residence,2018--2024
ES,AE,347.0,0.0,MENA,od_prev_residence,2018--2024
ES,MK,347.0,0.0,NON_EUROPE_EUR_CIS,od_prev_residence,2018--2024
ES,VN,315.0,0.0,EAST_SE_ASIA,od_prev_residence,2018--2024
ES,MY,313.0,0.0,EAST_SE_ASIA,od_prev_residence,2018--2024
ES,BJ,309.0,0.0,SSA,od_prev_residence,2018--2024
ES,SD,281.0,0.0,MENA,od_prev_residence,2018--2024
ES,AZ,274.0,0.0,NON_EUROPE_EUR_CIS,od_prev_residence,2018--2024
ES,AF,268.0,0.0,SOUTH_ASIA,od_prev_residence,2018--2024
ES,HT,260.0,0.0,LATAM_CARIB,od_prev_residence,2018--2024
ES,SG,258.0,0.0,EAST_SE_ASIA,od_prev_residence,2018--2024
ES,LK,220.0,0.0,SOUTH_ASIA,od_prev_residence,2018--2024
ES,KW,201.0,0.0,MENA,od_prev_residence,2018--2024
ES,GA,185.0,0.0,SSA,od_prev_residence,2018--2024
ES,KG,184.0,0.0,NON_EUROPE_EUR_CIS,od_prev_residence,2018--2024
ES,SO,184.0,0.0,SSA,od_prev_residence,2018--2024
ES,TZ,182.0,0.0,SSA,od_prev_residence,2018--2024
ES,RW,181.0,0.0,SSA,od_prev_residence,2018--2024
ES,CY,161.0,0.0,EU_EEA_CH_UK,od_prev_residence,2018--2024
ES,MN,161.0,0.0,EAST_SE_ASIA,od_prev_residence,2018--2024
ES,NE,158.0,0.0,SSA,od_prev_residence,2018--2024
ES,MG,153.0,0.0,SSA,od_prev_residence,2018--2024
ES,MT,143.0,0.0,EU_EEA_CH_UK,od_prev_residence,2018--2024
ES,GD,141.0,0.0,LATAM_CARIB,od_prev_residence,2018--2024
ES,LI,120.0,0.0,EU_EEA_CH_UK,od_prev_residence,2018--2024
ES,FM,119.0,0.0,OTHER,od_prev_residence,2018--2024
ES,ZW,116.0,0.0,SSA,od_prev_residence,2018--2024
