model,term,coef,std_err,p_value,t_stat,nobs,r2_within,r2_overall
annual_fe_dehaas_baseline_matched,Intercept,9.349975646464115,2.46878917120475,0.0002193611403844553,3.787271815479245,191.0,-0.2561049612912152,-0.16432782415616298
annual_fe_dehaas_baseline_matched,L1_net_migration_rate,0.10966868893919804,0.049678140824403916,0.028781691911478502,2.2075844047151687,191.0,-0.2561049612912152,-0.16432782415616298
annual_fe_dehaas_baseline_matched,L1_air_growth,0.0015185714968262924,0.027609793911514184,0.9562102218529214,0.05500118913212889,191.0,-0.2561049612912152,-0.16432782415616298
annual_fe_dehaas_baseline_matched,L1_gdp_pc_growth,0.6274909082483002,0.14445853899275563,2.5579801498976096e-05,4.343743974039278,191.0,-0.2561049612912152,-0.16432782415616298
annual_fe_dehaas_baseline_matched,L1_unemployment_rate,-0.6463199989376028,0.25477691918418544,0.01220203257458996,-2.5368074981327484,191.0,-0.2561049612912152,-0.16432782415616298
annual_fe_dehaas_baseline_matched,L1_inflation_hicp,0.23160284930924516,0.17681509496603504,0.19223280421070776,1.3098590329843416,191.0,-0.2561049612912152,-0.16432782415616298
annual_fe_dehaas_baseline_matched,L1_long_rate,-0.6688697226926806,0.4035375507864987,0.09949146988004176,-1.6575154440746513,191.0,-0.2561049612912152,-0.16432782415616298
annual_fe_dehaas_baseline_matched,L1_pop_growth,-0.3669404683744835,0.957974780137534,0.7022304860737107,-0.3830377124560657,191.0,-0.2561049612912152,-0.16432782415616298
annual_fe_dehaas_core,Intercept,5.731602654698434,3.0613539731023693,0.06317289169604523,1.8722443419014496,191.0,-0.22503624950059575,-0.43397497570786703
annual_fe_dehaas_core,L1_net_migration_rate,0.13335666866361182,0.057182588905044,0.021061102823783262,2.3321201648470415,191.0,-0.22503624950059575,-0.43397497570786703
annual_fe_dehaas_core,L1_origin_income_hump,-5.530762541071273,2.202335643776307,0.013116983499805501,-2.5113168179886376,191.0,-0.22503624950059575,-0.43397497570786703
annual_fe_dehaas_core,L1_network_stock_per_1000,0.025864806504576805,0.013395917777533208,0.05544605399727209,1.9307976455301654,191.0,-0.22503624950059575,-0.43397497570786703
annual_fe_dehaas_core,L1_network_hhi,-9.449009673279996,2.838924925928738,0.0011056980976371644,-3.3283760295946556,191.0,-0.22503624950059575,-0.43397497570786703
annual_fe_dehaas_core,L1_asylum_share_inflows,5.583716747013248,2.9655997253825563,0.06171303045572096,1.8828288589394713,191.0,-0.22503624950059575,-0.43397497570786703
annual_fe_dehaas_core,L1_naturalization_rate_per_1000,-0.11878489097811436,0.2016443992614671,0.5567172846686628,-0.5890810328140532,191.0,-0.22503624950059575,-0.43397497570786703
annual_fe_dehaas_core,L1_air_growth,0.004754367499321854,0.027707531577376092,0.8639965581828641,0.1715911605494268,191.0,-0.22503624950059575,-0.43397497570786703
