sample,factor,comparison,shapley_r2_within,shapley_r2_inclusive
annual_headline_composition,migration,shapley,-0.016200667918293374,0.0148669558288372
annual_headline_composition,air,shapley,-0.17525716870603192,0.0029409301448339305
annual_headline_composition,macros,shapley,0.2556066560131028,0.0913986332429888
annual_headline_composition,origin_income_comp,shapley,0.005293538182971318,0.0009194399537174417
annual_extended_composition_groups,migration,shapley,-0.013053802692423361,0.01455587291921662
annual_extended_composition_groups,air,shapley,-0.19863161457476264,0.003697715499143469
annual_extended_composition_groups,macros,shapley,0.3059791763269799,0.09517347389316365
annual_extended_composition_groups,origin_income_comp,shapley,-0.001954022036839499,0.0010428152821370217
annual_extended_composition_groups,origin_region_shares,shapley,0.04663794849389516,0.010570373731514838
quarterly_traveler_quality_full_interact,air_growth,shapley,-0.03457513144358104,0.0060944386239465366
quarterly_traveler_quality_full_interact,route_shocks,shapley,-0.004487058806589012,0.00020819357398992145
quarterly_traveler_quality_full_interact,airfare_proxy,shapley,0.014927385812399992,0.0019654078483675175
quarterly_traveler_quality_full_interact,airline_mix_level,shapley,-0.002929452866838612,4.910128152492698e-05
quarterly_traveler_quality_full_interact,operating_intensity,shapley,-0.01352937359382623,0.008170926264943945
quarterly_traveler_quality_full_interact,interactions,shapley,0.0034266223271779174,0.00039234477503283797
