model,term,coef,std_err,t_stat,p_value,nobs,r2_within,r2_overall
country_iv_fe,Intercept,45.89583623196904,10.03817483118223,4.572129595651178,4.827921717520667e-06,249.0,,
country_iv_fe,L1_air_growth,0.03860443244023681,0.03952752610851141,0.9766468140267491,0.3287440343596275,249.0,,
country_iv_fe,L1_gdp_pc_growth,0.27107457771047194,0.2385887551828532,1.1361582296815362,0.25589034854766046,249.0,,
country_iv_fe,L1_unemployment_rate,-0.8322672962343347,0.394927394930547,-2.107393173828064,0.035083512824214846,249.0,,
country_iv_fe,L1_inflation_hicp,0.5654545081235511,0.2834395900307376,1.9949736311085915,0.04604575588434279,249.0,,
country_iv_fe,L1_long_rate,-0.6837274748186672,0.7927468909752294,-0.8624789104849752,0.38842403350000465,249.0,,
country_iv_fe,L1_pop_growth,0.48045563348148335,1.1367077322344386,0.4226729702427963,0.672533879181727,249.0,,
country_iv_fe,C(geo)[T.BG],3.3242163244658514,1.5527162654326818,2.140903910438216,0.032281787741619716,249.0,,
country_iv_fe,C(geo)[T.CZ],0.929895530375461,1.26636841243754,0.7343009516366356,0.4627653380465331,249.0,,
country_iv_fe,C(geo)[T.DE],-2.657019120607231,1.1665472132446333,-2.2776781689075407,0.022745759363133278,249.0,,
country_iv_fe,C(geo)[T.DK],-0.722653345513578,0.7043768094636661,-1.0259471007624856,0.3049165194214569,249.0,,
country_iv_fe,C(geo)[T.EE],5.756434474886987,1.229015529382298,4.683776841924988,2.81636626708881e-06,249.0,,
country_iv_fe,C(geo)[T.ES],10.277290475113432,4.484190227828877,2.2918944007621675,0.02191173744699304,249.0,,
country_iv_fe,C(geo)[T.FI],-3.0533319772109166,0.6456040601006826,-4.72941879692446,2.251634896976995e-06,249.0,,
country_iv_fe,C(geo)[T.HR],3.8549949728103137,1.309600534885896,2.943641874082004,0.003243751108220838,249.0,,
country_iv_fe,C(geo)[T.IE],3.5729337835988417,1.8262823735851361,1.9563972336790896,0.050418377794222646,249.0,,
