panel,variable,n,mean,std,p10,p50,p90
annual,hpi_growth,1056,5.475573023423307,9.252797352817751,-2.3884999999999996,5.0,13.6695
annual,net_migration_rate,1574,2.8678436262897646,6.497377949994679,-3.1617367006844903,1.5964133900965696,10.238934990672032
annual,air_growth,1684,6.3578026002421995,29.35343844250829,-5.005275097512544,6.572948347127916,23.300981147983606
annual,gdp_pc_growth,2676,2.4557303978706524,4.132851668819801,-1.4345745773895149,2.3867603817792347,6.71981721611813
annual,unemployment_rate,1641,7.945237050578915,4.692510804513941,3.536,6.887,13.664
annual,inflation_hicp,2684,16.926290341608265,109.18087398467004,0.7340306286852694,3.60799339314759,17.142002978591446
annual,long_rate,1655,9.58338914267665,37.69084472580981,1.599447999999998,5.8,15.392740040440604
annual,pop_growth,2990,0.8671858649702091,1.0693667601542942,-0.16017027465974665,0.7137647206104172,2.184382030713445
quarterly,hpi_yoy,4139,5.339857757078278,9.735825376784183,-2.7194947646353174,4.838,13.444410642885362
quarterly,air_yoy,2554,5.835825646706928,69.2151036588036,-7.433493955362777,6.426640006338857,35.964173106538844
quarterly,dlog_hpi_qoq,2207,1.0398835930051655,2.7045104325834135,-1.8160091610984883,1.15863694620435,3.7603779708324763
quarterly,air_qoq,2656,1.8907671456833561,57.59178741499032,-42.283659019664114,1.6685053444025044,44.711316430096915
