model,nobs,r2_within,r2_overall,rmse_resid,mae_resid
annual_fe_dehaas_baseline_matched,191.0,-0.2561049612912152,-0.16432782415616298,2.622759347719365,2.0213373948644606
annual_fe_dehaas_core,191.0,-0.22503624950059575,-0.43397497570786703,2.4983060626882687,1.9387300818000688
annual_fe_dehaas_core_interactions,191.0,-0.2989893269004682,-0.4778349024943207,2.488460650701788,1.9359481037233703
