model,term,coef,std_err,t_stat,p_value,nobs,r2_within,r2_overall,entity_dim,time_dim
annual_ext_baseline,Intercept,6.54652469536392,1.6050417337341465,4.078725529543311,5.181740243331845e-05,647.0,-0.10419798432940319,-0.20971574502989077,geo,year
annual_ext_baseline,L1_net_migration_rate,0.0869038680183901,0.056771666032845114,1.5307612774321626,0.1263900704214267,647.0,-0.10419798432940319,-0.20971574502989077,geo,year
annual_ext_baseline,L1_air_growth,0.013769769626285231,0.031528783307301744,0.43673647321164766,0.6624699212451586,647.0,-0.10419798432940319,-0.20971574502989077,geo,year
annual_ext_baseline,L1_gdp_pc_growth,0.6611337787937637,0.20436720362861682,3.235028747544048,0.0012876542991544504,647.0,-0.10419798432940319,-0.20971574502989077,geo,year
annual_ext_baseline,L1_unemployment_rate,-0.5179048863990128,0.18772503729174075,-2.75884822754966,0.005989195967748051,647.0,-0.10419798432940319,-0.20971574502989077,geo,year
annual_ext_baseline,L1_inflation_hicp,0.2527911343633435,0.19844963595729018,1.2738301743105669,0.20324922034952086,647.0,-0.10419798432940319,-0.20971574502989077,geo,year
annual_ext_baseline,L1_long_rate,0.10109310293166299,0.0974931728750313,1.0369249451061169,0.3002159856922275,647.0,-0.10419798432940319,-0.20971574502989077,geo,year
annual_ext_baseline,L1_pop_growth,0.24820578175528932,0.22627861096923765,1.0969034178357788,0.27315255665819027,647.0,-0.10419798432940319,-0.20971574502989077,geo,year
annual_ext_mig_types,Intercept,9.478840661773638,4.047535306813715,2.3418796732462686,0.020033961808302525,279.0,-0.23590442595816175,-0.10349072718293084,geo,year
annual_ext_mig_types,L1_non_asylum_immigration_rate_per_1000,-0.012966103608251173,0.1163657711872418,-0.11142540865722171,0.9113753512546487,279.0,-0.23590442595816175,-0.10349072718293084,geo,year
annual_ext_mig_types,L1_asylum_rate_per_1000,0.1779135807515105,0.14096016636109968,1.2621550140324518,0.20816034357880087,279.0,-0.23590442595816175,-0.10349072718293084,geo,year
annual_ext_mig_types,L1_naturalization_rate_per_1000,0.014047501520992883,0.3748612332950852,0.03747387105759986,0.9701393981390736,279.0,-0.23590442595816175,-0.10349072718293084,geo,year
annual_ext_mig_types,L1_air_growth,-0.0002145221053580255,0.027972915221538455,-0.007668922014708313,0.9938877357836493,279.0,-0.23590442595816175,-0.10349072718293084,geo,year
annual_ext_mig_types,L1_gdp_pc_growth,0.339084542249895,0.1550303323625148,2.1872141862987013,0.029725904866863884,279.0,-0.23590442595816175,-0.10349072718293084,geo,year
annual_ext_mig_types,L1_unemployment_rate,-0.6805511952768037,0.33768957855398984,-2.0153159543476913,0.045025045820068055,279.0,-0.23590442595816175,-0.10349072718293084,geo,year
annual_ext_mig_types,L1_inflation_hicp,0.35950052490783696,0.15358752068625003,2.340688379508566,0.020096471577152997,279.0,-0.23590442595816175,-0.10349072718293084,geo,year
annual_ext_mig_types,L1_long_rate,-0.1775905791456641,0.2876806641057026,-0.6173184412575324,0.5376301074231995,279.0,-0.23590442595816175,-0.10349072718293084,geo,year
annual_ext_mig_types,L1_pop_growth,-0.4699784809510318,0.4187376687952004,-1.1223697220822344,0.26286549224370925,279.0,-0.23590442595816175,-0.10349072718293084,geo,year
annual_ext_mig_types_cars,Intercept,-13.049412876028423,20.70641444876648,-0.6302111313533474,0.5291959673445921,275.0,0.14230895831155166,-0.28334242543430754,geo,year
annual_ext_mig_types_cars,L1_non_asylum_immigration_rate_per_1000,-0.0532460139217904,0.1184036346453733,-0.44969915054774906,0.6533603026361816,275.0,0.14230895831155166,-0.28334242543430754,geo,year
annual_ext_mig_types_cars,L1_asylum_rate_per_1000,0.2015513731759079,0.12110357856856338,1.6642891610490156,0.09744664468045405,275.0,0.14230895831155166,-0.28334242543430754,geo,year
annual_ext_mig_types_cars,L1_naturalization_rate_per_1000,0.14939335666350184,0.3998933456569229,0.37358300228298774,0.7090663417626004,275.0,0.14230895831155166,-0.28334242543430754,geo,year
annual_ext_mig_types_cars,L1_acq_origin_gdp_wavg_log,1.743806063004365,2.184344433315105,0.7983200984278153,0.42552655852300414,275.0,0.14230895831155166,-0.28334242543430754,geo,year
annual_ext_mig_types_cars,L1_car_reg_total_per_1000,0.1871124087218106,0.12535837582724402,1.4926199185898006,0.13693755206248093,275.0,0.14230895831155166,-0.28334242543430754,geo,year
annual_ext_mig_types_cars,L1_car_reg_elc_share,-9.033239653349874,5.786921240212484,-1.5609750467276433,0.11993504857073267,275.0,0.14230895831155166,-0.28334242543430754,geo,year
annual_ext_mig_types_cars,L1_air_growth,-0.007322996246882943,0.023420341925923342,-0.3126767435780823,0.7548158750176719,275.0,0.14230895831155166,-0.28334242543430754,geo,year
annual_ext_mig_types_cars,L1_gdp_pc_growth,0.3050810218356203,0.13779967909955046,2.2139458076329843,0.027836169965635094,275.0,0.14230895831155166,-0.28334242543430754,geo,year
annual_ext_mig_types_cars,L1_unemployment_rate,-0.2782387520223599,0.323346180200518,-0.860498032943561,0.39043055785175973,275.0,0.14230895831155166,-0.28334242543430754,geo,year
annual_ext_mig_types_cars,L1_inflation_hicp,0.22044051260705183,0.19024013373271606,1.1587487260536031,0.24778697270139682,275.0,0.14230895831155166,-0.28334242543430754,geo,year
annual_ext_mig_types_cars,L1_long_rate,-0.5439933387398683,0.4408210615016145,-1.2340457075413036,0.2184732861103309,275.0,0.14230895831155166,-0.28334242543430754,geo,year
annual_ext_mig_types_cars,L1_pop_growth,-0.5750714399191613,0.13932861345662859,-4.127446801142355,5.167998051680556e-05,275.0,0.14230895831155166,-0.28334242543430754,geo,year
quarterly_ext_air_only,Intercept,4.090221381344168,,,,2205.0,-0.05337281708926844,-0.04695456958162536,geo,quarter_idx
quarterly_ext_air_only,L1_air_yoy,0.04169247078667255,0.013761464761760198,3.029653565841763,0.002478574698011382,2205.0,-0.05337281708926844,-0.04695456958162536,geo,quarter_idx
quarterly_ext_nonair_mobility,Intercept,5.456560735548185,1.5536036680025986,3.5121960947501174,0.000505349145103029,380.0,0.021827940131751156,-0.11009752426730435,geo,quarter_idx
quarterly_ext_nonair_mobility,L1_air_yoy,0.00960354311972062,0.019585470777077035,0.4903401725201658,0.6242141987792369,380.0,0.021827940131751156,-0.11009752426730435,geo,quarter_idx
