model,term,event_time,coef,std_err,t_stat,p_value,nobs
regional_event_study_open_persistent,evt_open_m8,-8,0.7528345828216015,0.4430258288766565,1.6993017872806675,0.08941831331685868,2133.0
regional_event_study_open_persistent,evt_open_m7,-7,0.09717390180386266,0.39630020948041517,0.2452027515485452,0.806324678048747,2133.0
regional_event_study_open_persistent,evt_open_m6,-6,0.14755622103201757,0.48875897628755577,0.30189976694198767,0.7627599566221548,2133.0
regional_event_study_open_persistent,evt_open_m5,-5,0.5925556696128628,0.5296674726693408,1.1187314686827705,0.2633894674245756,2133.0
regional_event_study_open_persistent,evt_open_m4,-4,0.19377178216222304,0.49782507798192316,0.38923668318947,0.6971426324130006,2133.0
regional_event_study_open_persistent,evt_open_m3,-3,0.041816376330854256,0.5041671103688976,0.08294149989327415,0.9339063805365677,2133.0
regional_event_study_open_persistent,evt_open_m2,-2,-0.45253734419218616,0.3522898212033943,-1.2845598054645866,0.19909536267251648,2133.0
regional_event_study_open_persistent,evt_open_0,0,-0.09438692755520468,0.40909391077163865,-0.23072190778193385,0.8175545217414553,2133.0
regional_event_study_open_persistent,evt_open_p1,1,-0.10025993174633262,0.3884167947532587,-0.25812460506508894,0.796337380707149,2133.0
regional_event_study_open_persistent,evt_open_p2,2,-0.4889332898702499,0.59119447158007,-0.8270261536165768,0.4083211932361268,2133.0
regional_event_study_open_persistent,evt_open_p3,3,0.02767795892179894,0.2984173243453954,0.09274916924650058,0.9261121512093549,2133.0
regional_event_study_open_persistent,evt_open_p4,4,-0.30248261041719593,0.35977766304981623,-0.8407487220108854,0.4005895235647825,2133.0
regional_event_study_open_persistent,evt_open_p5,5,-0.48887720257780776,0.3330812215026852,-1.4677417128838846,0.1423321069414385,2133.0
regional_event_study_open_persistent,evt_open_p6,6,0.6327338454397244,0.5221150868111829,1.2118666198752184,0.2257070231435394,2133.0
regional_event_study_open_persistent,evt_open_p7,7,0.19505089817697613,0.6967821876707323,0.27993094776003136,0.779559518378643,2133.0
regional_event_study_open_persistent,evt_open_p8,8,-0.2736567882480482,0.3119341325512644,-0.8772902984673356,0.38043466416999694,2133.0
regional_event_study_close_persistent,evt_close_m8,-8,-0.021652381706686964,0.4711590003165115,-0.04595557273052515,0.9633502620501075,2133.0
regional_event_study_close_persistent,evt_close_m7,-7,-0.030448491443615458,0.4991654750410021,-0.06099879291754779,0.9513662833713219,2133.0
regional_event_study_close_persistent,evt_close_m6,-6,0.7088666943579065,0.47281842850140726,1.4992366025255226,0.13397056037904886,2133.0
regional_event_study_close_persistent,evt_close_m5,-5,-0.45323408193572257,0.49032807331502426,-0.9243486281980235,0.35541667607877736,2133.0
regional_event_study_close_persistent,evt_close_m4,-4,0.4112064717476568,0.3818332567228438,1.076926811658351,0.2816432358142926,2133.0
regional_event_study_close_persistent,evt_close_m3,-3,1.2027861149206434,0.5135187093472865,2.3422439981777052,0.01926609036816984,2133.0
regional_event_study_close_persistent,evt_close_m2,-2,0.11310774074516486,0.398414660985517,0.28389452452724,0.7765206871460857,2133.0
regional_event_study_close_persistent,evt_close_0,0,0.3576564875833866,0.48122016798866163,0.7432283835448342,0.4574309776135643,2133.0
regional_event_study_close_persistent,evt_close_p1,1,-0.9011362095903488,0.6825123674282141,-1.3203221693783143,0.18687900792122014,2133.0
regional_event_study_close_persistent,evt_close_p2,2,0.07164181407432936,0.49897805718675614,0.14357708328547894,0.8858489456943879,2133.0
regional_event_study_close_persistent,evt_close_p3,3,0.5253111051563667,0.37911124445699024,1.3856384183718473,0.16601229820535157,2133.0
regional_event_study_close_persistent,evt_close_p4,4,-0.3049839754186774,0.5796028565185398,-0.5261947417764699,0.5988114255845778,2133.0
regional_event_study_close_persistent,evt_close_p5,5,-0.05365704851820142,0.687100563288272,-0.078091987381605,0.9377627160769557,2133.0
regional_event_study_close_persistent,evt_close_p6,6,-0.9656313256768624,0.561845947526768,-1.718676320310839,0.08582854531706285,2133.0
regional_event_study_close_persistent,evt_close_p7,7,-0.8194188057773194,0.36137813146055536,-2.267483099947235,0.023467340665142222,2133.0
regional_event_study_close_persistent,evt_close_p8,8,0.6586013035360353,0.7339170557976509,0.8973783867445901,0.36962537448938715,2133.0
