model,term,coef,std_err,t_stat,p_value,nobs,r2_within,r2_overall
annual_fe_immig_volume_origin_gdp,Intercept,-5.405352676784194,26.00702738926702,-0.20784200346614615,0.8355860083174433,217.0,-0.05291081468217329,0.0447187292607335
annual_fe_immig_volume_origin_gdp,L1_immigration_rate_per_1000,0.17536648422552734,0.14044186709405487,1.2486766792133517,0.21339599173848844,217.0,-0.05291081468217329,0.0447187292607335
annual_fe_immig_volume_origin_gdp,L1_origin_gdp_pc_ppp_const_wavg_log,0.8938151946801054,2.472489622026824,0.36150412390706016,0.7181442643792528,217.0,-0.05291081468217329,0.0447187292607335
annual_fe_immig_volume_origin_gdp_controls,Intercept,24.477827006820327,21.439197409782416,1.141732432374144,0.2551803784962319,211.0,0.05714950161438748,-0.13855575363937578
annual_fe_immig_volume_origin_gdp_controls,L1_immigration_rate_per_1000,-0.06702309127031118,0.09867516445278517,-0.6792295877285403,0.49792159451628115,211.0,0.05714950161438748,-0.13855575363937578
annual_fe_immig_volume_origin_gdp_controls,L1_origin_gdp_pc_ppp_const_wavg_log,-1.2081233877047892,1.9613042336660473,-0.6159795950914657,0.5387367297603927,211.0,0.05714950161438748,-0.13855575363937578
annual_fe_immig_volume_origin_gdp_controls,L1_air_growth,-0.015043451582131358,0.0439024836952827,-0.3426560484947636,0.7322830401915117,211.0,0.05714950161438748,-0.13855575363937578
annual_fe_immig_volume_origin_gdp_controls,L1_gdp_pc_growth,0.6685952039350451,0.1750816403300477,3.818762508020095,0.00018806407626947852,211.0,0.05714950161438748,-0.13855575363937578
annual_fe_immig_volume_origin_gdp_controls,L1_unemployment_rate,-0.8797460952785149,0.2538326831205276,-3.4658503564759005,0.0006701198131764396,211.0,0.05714950161438748,-0.13855575363937578
annual_fe_immig_volume_origin_gdp_controls,L1_inflation_hicp,0.26325141024323584,0.17535994178102102,1.501206076881392,0.1351683072271035,211.0,0.05714950161438748,-0.13855575363937578
annual_fe_immig_volume_origin_gdp_controls,L1_long_rate,-0.6786653894962127,0.4621976954543379,-1.4683443820053845,0.14386949848202457,211.0,0.05714950161438748,-0.13855575363937578
annual_fe_immig_volume_origin_gdp_controls,L1_pop_growth,0.2964250291112884,0.7409774138416736,0.4000459711375578,0.6896278478636853,211.0,0.05714950161438748,-0.13855575363937578
annual_fe_immig_origin_gdp_interaction,Intercept,12.042840596400541,2.5966321394278777,4.637869343731519,7.046467989324512e-06,211.0,-0.004623890312652312,-0.14627252833905713
annual_fe_immig_origin_gdp_interaction,L1_immigration_rate_per_1000,-0.030261692670189324,0.0552276379331924,-0.5479447212063676,0.5844571619464638,211.0,-0.004623890312652312,-0.14627252833905713
annual_fe_immig_origin_gdp_interaction,L1_origin_gdp_pc_ppp_const_wavg_log_c,-3.696589261559158,4.074642351027355,-0.9072180925590004,0.36559091385681075,211.0,-0.004623890312652312,-0.14627252833905713
annual_fe_immig_origin_gdp_interaction,L1_air_growth,-0.013143198977196456,0.041659261438347216,-0.3154928465702031,0.7527790469041762,211.0,-0.004623890312652312,-0.14627252833905713
annual_fe_immig_origin_gdp_interaction,L1_gdp_pc_growth,0.6610873546392222,0.1736030298081203,3.8080404205497325,0.00019609777822116037,211.0,-0.004623890312652312,-0.14627252833905713
annual_fe_immig_origin_gdp_interaction,L1_unemployment_rate,-0.9134687617053068,0.2542306862569658,-3.593070432032782,0.0004290108368130152,211.0,-0.004623890312652312,-0.14627252833905713
