model,term,coef,std_err,p_value,nobs,r2_within
annual_fe_harmonized_full,Intercept,5.82636051197249,2.2244055824835853,0.009048844626825092,647.0,-0.16355031924824903
annual_fe_harmonized_full,L1_net_migration_rate_harmonized,0.0951482860916783,0.04066294505078478,0.019636005001196555,647.0,-0.16355031924824903
annual_fe_harmonized_full,L1_air_growth_harmonized,0.0216581989863916,0.03858395100450536,0.5747982490398429,647.0,-0.16355031924824903
annual_fe_harmonized_full,L1_gdp_pc_growth_harmonized,0.6734914604772313,0.20866381928168287,0.0013207539442228189,647.0,-0.16355031924824903
annual_fe_harmonized_full,L1_unemployment_rate_harmonized,-0.4349496523974423,0.26481905893083585,0.10105704438458396,647.0,-0.16355031924824903
annual_fe_harmonized_full,L1_inflation_hicp_harmonized,0.2608805065359463,0.2016008920258822,0.1961806547089049,647.0,-0.16355031924824903
annual_fe_harmonized_full,L1_long_rate_harmonized,0.09726502552260773,0.10754040310622245,0.36614315636935,647.0,-0.16355031924824903
annual_fe_harmonized_full,L1_pop_growth_harmonized,0.2944574429035941,0.28166422990396367,0.2962774924878424,647.0,-0.16355031924824903
quarterly_fe_harmonized_plus_annual_ctrls,Intercept,8.548482284150857,1.391675827716782,1.0852636567193485e-09,1377.0,-0.01077553731132097
quarterly_fe_harmonized_plus_annual_ctrls,L1_air_yoy,0.009334870679708588,0.007439758078583432,0.2098092027037648,1377.0,-0.01077553731132097
quarterly_fe_harmonized_plus_annual_ctrls,L1y_net_migration_rate_harmonized,0.08470485996401753,0.050897155803919875,0.09631281473134745,1377.0,-0.01077553731132097
quarterly_fe_harmonized_plus_annual_ctrls,L1y_gdp_pc_growth_harmonized,0.322792034966862,0.13731649191411038,0.01889007557078881,1377.0,-0.01077553731132097
quarterly_fe_harmonized_plus_annual_ctrls,L1y_unemployment_rate_harmonized,-0.5420355054419032,0.18909971488180566,0.0042203902571686935,1377.0,-0.01077553731132097
