country,period_str,quarter_end,country_period_ret,n_days,avg_n_tickers,min_n_tickers,max_n_tickers,country_period_ret_pct
AT,2013Q3,2013-09-30,0.21133429885863908,65.0,1.0,1.0,1.0,21.133429885863908
AT,2013Q4,2013-12-31,0.20037290888326242,61.0,1.0,1.0,1.0,20.037290888326243
AT,2014Q1,2014-03-31,0.018245240935734097,62.0,1.0,1.0,1.0,1.8245240935734097
AT,2014Q2,2014-06-30,0.08768464702649492,59.0,1.0,1.0,1.0,8.768464702649492
AT,2014Q3,2014-09-30,0.14151594414303603,65.0,1.0,1.0,1.0,14.151594414303602
AT,2014Q4,2014-12-31,-0.019607601797311802,62.0,1.0,1.0,1.0,-1.9607601797311802
AT,2015Q1,2015-03-31,0.126451506845904,62.0,1.0,1.0,1.0,12.645150684590401
AT,2015Q2,2015-06-30,-0.07873657518254917,59.0,1.0,1.0,1.0,-7.873657518254918
AT,2015Q3,2015-09-30,0.05239600287573909,66.0,1.0,1.0,1.0,5.239600287573909
AT,2015Q4,2015-12-31,0.02185805288825282,61.0,1.0,1.0,1.0,2.185805288825282
AT,2016Q1,2016-03-31,0.026441044573129346,61.0,1.0,1.0,1.0,2.6441044573129346
AT,2016Q2,2016-06-30,-0.10465630608073151,62.0,1.0,1.0,1.0,-10.465630608073152
AT,2016Q3,2016-09-30,0.1305795523928981,65.0,1.0,1.0,1.0,13.057955239289809
AT,2016Q4,2016-12-31,0.03123156748233291,60.0,1.0,1.0,1.0,3.123156748233291
AT,2017Q1,2017-03-31,0.17685713896003952,63.0,1.0,1.0,1.0,17.685713896003953
AT,2017Q2,2017-06-30,0.05804347345377381,61.0,1.0,1.0,1.0,5.804347345377381
AT,2017Q3,2017-09-30,0.1376404585478519,64.0,1.0,1.0,1.0,13.76404585478519
AT,2017Q4,2017-12-31,0.061934178081216595,63.0,1.0,1.0,1.0,6.1934178081216595
AT,2018Q1,2018-03-31,0.0517342070434883,62.0,1.0,1.0,1.0,5.17342070434883
AT,2018Q2,2018-06-30,0.08141651567056529,60.0,1.0,1.0,1.0,8.14165156705653
AT,2018Q3,2018-09-30,0.07848630828451353,64.0,1.0,1.0,1.0,7.848630828451353
AT,2018Q4,2018-12-31,-0.10266397789613524,63.0,1.0,1.0,1.0,-10.266397789613524
AT,2019Q1,2019-03-31,0.16582164161616086,60.0,1.0,1.0,1.0,16.582164161616085
AT,2019Q2,2019-06-30,0.030798766743962203,59.0,1.0,1.0,1.0,3.0798766743962203
AT,2019Q3,2019-09-30,0.00773997885062494,65.0,1.0,1.0,1.0,0.773997885062494
AT,2019Q4,2019-12-31,0.15053777684534353,62.0,1.0,1.0,1.0,15.053777684534353
AT,2020Q1,2020-03-31,-0.1802403845106636,64.0,1.0,1.0,1.0,-18.02403845106636
AT,2020Q2,2020-06-30,-0.034201998755131635,61.0,1.0,1.0,1.0,-3.4201998755131635
AT,2020Q3,2020-09-30,-0.11439003660124314,66.0,1.0,1.0,1.0,-11.439003660124314
AT,2020Q4,2020-12-31,0.23913029006529696,62.0,1.0,1.0,1.0,23.913029006529698
AT,2021Q1,2021-03-31,0.15151517593475616,63.0,1.0,1.0,1.0,15.151517593475617
AT,2021Q2,2021-06-30,0.0010349478805382617,62.0,1.0,1.0,1.0,0.10349478805382617
AT,2021Q3,2021-09-30,0.03840673749701029,66.0,1.0,1.0,1.0,3.840673749701029
AT,2021Q4,2021-12-31,-0.03028013127170137,63.0,1.0,1.0,1.0,-3.028013127170137
AT,2022Q1,2022-03-31,-0.0693547503723907,64.0,1.0,1.0,1.0,-6.935475037239069
AT,2022Q2,2022-06-30,0.07843139530266963,62.0,1.0,1.0,1.0,7.843139530266963
AT,2022Q3,2022-09-30,0.00495862661530011,66.0,1.0,1.0,1.0,0.495862661530011
AT,2022Q4,2022-12-31,-0.06743420775891751,63.0,1.0,1.0,1.0,-6.743420775891751
AT,2023Q1,2023-03-31,-0.12522048704797528,65.0,1.0,1.0,1.0,-12.522048704797529
AT,2023Q2,2023-06-30,0.11338723185078114,62.0,1.0,1.0,1.0,11.338723185078114
AT,2023Q3,2023-09-30,0.18267412953336937,65.0,1.0,1.0,1.0,18.267412953336937
AT,2023Q4,2023-12-31,0.1298537110488851,62.0,1.0,1.0,1.0,12.985371104888511
AT,2024Q1,2024-03-31,0.007704159761059204,63.0,1.0,1.0,1.0,0.7704159761059204
AT,2024Q2,2024-06-30,-0.027980173852423795,63.0,1.0,1.0,1.0,-2.7980173852423795
AT,2024Q3,2024-09-30,-0.1324288908227339,66.0,1.0,1.0,1.0,-13.24288908227339
AT,2024Q4,2024-12-31,-0.13179453886775327,62.0,1.0,1.0,1.0,-13.179453886775327
AT,2025Q1,2025-03-31,-0.03945106423393663,63.0,1.0,1.0,1.0,-3.945106423393663
AT,2025Q2,2025-06-30,0.1309576503531522,62.0,1.0,1.0,1.0,13.095765035315221
AT,2025Q3,2025-09-30,-0.03627374525197169,66.0,1.0,1.0,1.0,-3.627374525197169
AT,2025Q4,2025-12-31,-0.036783521551449705,62.0,1.0,1.0,1.0,-3.6783521551449705
AT,2026Q1,2026-03-31,0.10213140276680677,51.0,1.0,1.0,1.0,10.213140276680676
BE,2000Q1,2000-03-31,-0.09313717937200983,63.0,1.0,1.0,1.0,-9.313717937200982
BE,2000Q2,2000-06-30,0.110927218839308,65.0,1.0,1.0,1.0,11.0927218839308
BE,2000Q3,2000-09-30,-0.04465233862192808,65.0,1.0,1.0,1.0,-4.465233862192807
BE,2000Q4,2000-12-31,-0.017391172144402556,65.0,1.0,1.0,1.0,-1.7391172144402556
BE,2001Q1,2001-03-31,-0.004424923846716444,65.0,1.0,1.0,1.0,-0.4424923846716444
BE,2001Q2,2001-06-30,0.06914280244707793,65.0,1.0,1.0,1.0,6.914280244707793
BE,2001Q3,2001-09-30,0.01222213162516339,65.0,1.0,1.0,1.0,1.222213162516339
BE,2001Q4,2001-12-31,0.07985780780287333,66.0,1.893939393939394,1.0,2.0,7.985780780287333
BE,2002Q1,2002-03-31,0.018375627273188755,64.0,2.0,2.0,2.0,1.8375627273188755
