model,term,coef,std_err,t_stat,p_value,nobs,r2_within,r2_overall
annual_fe_migration,Intercept,6.266821653936207,0.46784557349045636,13.395064544869621,0.0,789.0,0.0011295356494827047,0.0017036325337209668
annual_fe_migration,L1_net_migration_rate,-0.0270115733290859,0.1264370570521875,-0.21363652364936608,0.8308921949193402,789.0,0.0011295356494827047,0.0017036325337209668
annual_fe_migration_flights,Intercept,6.143894132641918,0.5212990489256083,11.785738234712719,0.0,766.0,-0.057356757807353054,-0.03630650866674423
annual_fe_migration_flights,L1_net_migration_rate,-0.029958845989682716,0.1277216115371009,-0.23456363906730218,0.8146178362825207,766.0,-0.057356757807353054,-0.03630650866674423
annual_fe_migration_flights,L1_air_growth,0.03821654621512403,0.023383315728359028,1.6343510329792716,0.10264663922478579,766.0,-0.057356757807353054,-0.03630650866674423
annual_fe_full_controls,Intercept,5.82636051197249,2.1999510755929026,2.64840458345295,0.00831411241149338,647.0,-0.16355031924824903,-0.20426041520588867
annual_fe_full_controls,L1_net_migration_rate,0.0951482860916783,0.047289659634182794,2.0120315271396336,0.0446924575880685,647.0,-0.16355031924824903,-0.20426041520588867
annual_fe_full_controls,L1_air_growth,0.0216581989863916,0.02826608191537911,0.766225720679304,0.44386314250737,647.0,-0.16355031924824903,-0.20426041520588867
annual_fe_full_controls,L1_gdp_pc_growth,0.6734914604772313,0.22013728669941168,3.0594156518193842,0.002323229621160827,647.0,-0.16355031924824903,-0.20426041520588867
annual_fe_full_controls,L1_unemployment_rate,-0.4349496523974423,0.25945262934900337,-1.676412582477122,0.0942125525225661,647.0,-0.16355031924824903,-0.20426041520588867
annual_fe_full_controls,L1_inflation_hicp,0.2608805065359463,0.18665938202396692,1.3976286844368178,0.162775060610157,647.0,-0.16355031924824903,-0.20426041520588867
annual_fe_full_controls,L1_long_rate,0.09726502552260773,0.10399057475358593,0.9353253961052246,0.35002163221991633,647.0,-0.16355031924824903,-0.20426041520588867
annual_fe_full_controls,L1_pop_growth,0.2944574429035941,0.39727510137473687,0.7411927953316204,0.4588855883762486,647.0,-0.16355031924824903,-0.20426041520588867
quarterly_fe_air_yoy,Intercept,4.040571198798204,0.056672590090254486,71.29674490548875,0.0,2205.0,-0.00401500224406548,-0.002284099870465628
quarterly_fe_air_yoy,L1_air_yoy,0.028864736317122212,0.011550605448885694,2.4989803733540947,0.012531912251443567,2205.0,-0.00401500224406548,-0.002284099870465628
quarterly_fe_air_yoy_lags,Intercept,3.979766756222377,0.07813917846059269,50.93177116303393,0.0,2195.0,-0.019016285209371597,-0.016039392340915004
quarterly_fe_air_yoy_lags,L1_air_yoy,0.02005416970083905,0.008431829084425703,2.378389018567844,0.01747894735769817,2195.0,-0.019016285209371597,-0.016039392340915004
quarterly_fe_air_yoy_lags,L2_air_yoy,0.017513785945309567,0.009024128933780004,1.9407730179641214,0.05242174304283376,2195.0,-0.019016285209371597,-0.016039392340915004
