model,term,coef,std_err,t_stat,p_value,nobs,r2_within,r2_overall
quarterly_tq_baseline_matched,Intercept,4.439377377170072,0.4206517215641608,10.553569971525594,0.0,2007.0,-0.03257833531855758,-0.025510971329219423
quarterly_tq_baseline_matched,L1_air_yoy,0.036058057197267894,0.012822279982526778,2.8121408397262466,0.004972094337688082,2007.0,-0.03257833531855758,-0.025510971329219423
quarterly_tq_baseline_matched,L1_open_rate_norm_q,-3.8333334910768704,5.301637719611383,-0.7230470458018883,0.469740399848662,2007.0,-0.03257833531855758,-0.025510971329219423
quarterly_tq_baseline_matched,L1_close_rate_norm_q,-2.3031662458217816,6.184519794363676,-0.3724082584262719,0.7096306376559975,2007.0,-0.03257833531855758,-0.025510971329219423
quarterly_tq_plus_airfare,Intercept,4.389967639279258,0.426758131885231,10.286781460698357,0.0,2169.0,-0.04836537326336687,-0.039530038487205266
quarterly_tq_plus_airfare,L1_air_yoy,0.04031657052894182,0.013530028200293078,2.9797846635728744,0.002918401413566807,2169.0,-0.04836537326336687,-0.039530038487205266
quarterly_tq_plus_airfare,L1_airfare_yoy_q,-0.026103650452274082,0.019730444590520438,-1.323013798929583,0.1859782670038792,2169.0,-0.04836537326336687,-0.039530038487205266
quarterly_tq_plus_airfare,L1_open_rate_norm_q,-4.031429405333998,5.373703903657381,-0.7502142800592676,0.4532117097829609,2169.0,-0.04836537326336687,-0.039530038487205266
quarterly_tq_plus_airfare,L1_close_rate_norm_q,-2.161175728231065,6.096229665499292,-0.3545102213687779,0.7229929902050132,2169.0,-0.04836537326336687,-0.039530038487205266
quarterly_tq_plus_airline_mix,Intercept,-1.2916835877518698,1.5900146708397789,-0.812372119226835,0.41668126655194904,1993.0,-0.06762273987311263,-0.10780833948134694
quarterly_tq_plus_airline_mix,L1_air_yoy,0.033889523307381986,0.012790592352417023,2.6495663667193585,0.008127217124837438,1993.0,-0.06762273987311263,-0.10780833948134694
quarterly_tq_plus_airline_mix,L1_lic_neu_share_pas,0.2864000855753991,2.962798087390084,0.09666540787721639,0.923002442383644,1993.0,-0.06762273987311263,-0.10780833948134694
quarterly_tq_plus_airline_mix,L1_pax_per_move_total,0.05999570169605446,0.015720293681387665,3.816449165137894,0.00013977787396579622,1993.0,-0.06762273987311263,-0.10780833948134694
quarterly_tq_plus_airline_mix,L1_open_rate_norm_q,-1.460821617200787,5.574779439871327,-0.26204115031939357,0.7933185007998325,1993.0,-0.06762273987311263,-0.10780833948134694
quarterly_tq_plus_airline_mix,L1_close_rate_norm_q,0.08263604466468635,6.5230634855378815,0.01266828766083553,0.9898937869462032,1993.0,-0.06762273987311263,-0.10780833948134694
quarterly_tq_full,Intercept,-1.2492578040829607,1.6046583438563762,-0.7785194953591783,0.4363611041035176,1993.0,-0.04686478473528166,-0.09072112919272213
quarterly_tq_full,L1_air_yoy,0.0336623437451465,0.012509015114543175,2.6910466920781104,0.007186119812229608,1993.0,-0.04686478473528166,-0.09072112919272213
quarterly_tq_full,L1_airfare_yoy_q,-0.032317011882163585,0.01949659056150089,-1.6575724755680439,0.0975711634056966,1993.0,-0.04686478473528166,-0.09072112919272213
quarterly_tq_full,L1_lic_neu_share_pas,0.1287971019850139,2.955948546481178,0.043572173182221535,0.965250075175972,1993.0,-0.04686478473528166,-0.09072112919272213
quarterly_tq_full,L1_pax_per_move_total,0.06043715068838528,0.015772088354869974,3.8319054096424714,0.0001313459288860841,1993.0,-0.04686478473528166,-0.09072112919272213
quarterly_tq_full,L1_open_rate_norm_q,-1.6023859791942692,5.470979593176001,-0.29288831221248546,0.769639949095644,1993.0,-0.04686478473528166,-0.09072112919272213
quarterly_tq_full,L1_close_rate_norm_q,0.42863628888442384,6.430391734151512,0.06665788129328987,0.9468611759462604,1993.0,-0.04686478473528166,-0.09072112919272213
quarterly_tq_full_interact,Intercept,-1.2875576670587823,1.6441639446847938,-0.7831078349705709,0.43366284742140015,1993.0,-0.03716700857125699,-0.08008611211691563
quarterly_tq_full_interact,L1_air_yoy,0.035345615142005654,0.01263411343511283,2.797633195517529,0.005200536142582202,1993.0,-0.03716700857125699,-0.08008611211691563
quarterly_tq_full_interact,L1_airfare_yoy_q_c,-0.03507142698599641,0.01908089704947039,-1.8380386883838806,0.06621507377752645,1993.0,-0.03716700857125699,-0.08008611211691563
quarterly_tq_full_interact,L1_lic_neu_share_pas_c,-0.021360341791613894,2.9480227123698923,-0.00724565034793863,0.9942196300685544,1993.0,-0.03716700857125699,-0.08008611211691563
quarterly_tq_full_interact,L1_pax_per_move_total,0.05946688817061657,0.016315631277207074,3.6447800983153975,0.00027492016714036893,1993.0,-0.03716700857125699,-0.08008611211691563
quarterly_tq_full_interact,L1_open_rate_norm_q,-1.8254725668932057,5.41096109807506,-0.3373656793693479,0.7358790753336222,1993.0,-0.03716700857125699,-0.08008611211691563
quarterly_tq_full_interact,L1_close_rate_norm_q,0.6048251043001541,6.426779074001136,0.09411014402952032,0.925031733728499,1993.0,-0.03716700857125699,-0.08008611211691563
quarterly_tq_full_interact,L1_air_yoy:L1_lic_neu_share_pas_c,0.020439401554281828,0.022601111637477654,0.9043538159595995,0.3659241842793872,1993.0,-0.03716700857125699,-0.08008611211691563
quarterly_tq_full_interact,L1_air_yoy:L1_airfare_yoy_q_c,0.00018175489742683462,9.289487194704424e-05,1.956565455307867,0.05054705857228514,1993.0,-0.03716700857125699,-0.08008611211691563
