sample,nobs_test,rmse,mae,corr_actual_pred,oos_r2_vs_fe_only,periods_eval,mean_rank_ic,mean_top25_minus_bottom25,median_top25_minus_bottom25
annual_naive,246,6.1198019214780075,4.576579844986883,0.2136916280864211,-0.06291812864874524,9,0.46717647580510785,4.87063492063492,5.05
annual_release_aware,247,5.975976107629724,4.385637006845742,0.22672622938849613,-0.027846503906932885,9,0.4726636687887049,5.271214684280841,5.35
quarterly_naive,325,5.148829459582243,4.192794946818709,0.6740821458243411,0.2555982991418173,13,0.7072669062635619,10.507298736797235,10.649365704381546
quarterly_release_aware,329,4.819501362933938,3.8518186629014597,0.6890169439566107,0.35320726750499165,13,0.7497679837813618,10.591987550783882,10.578167628897866
